tipo_celular,module_size,AQP4_MM,AQP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.334,90.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91),2.40,6.80
oligodendrocyte progenitor cells 7,200.0,0.429,96.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,338.0,0.086,23.0,191,4,2.09,2.74 (1.95-3.52),187,97.91,3.92 (3.69-4.14),3.55,9.28
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,279.0,0.247,39.0,78,5,6.41,2.80 (1.73-3.86),73,93.59,4.44 (4.01-4.86),3.85,2.63
oligodendrocyte progenitor cells 12,3303.0,0.147,98.0,276,9,3.26,2.38 (1.57-3.19),267,96.74,3.59 (3.37-3.81),6.42,5.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.23,61.0,54,8,14.81,3.17 (2.19-4.16),46,85.19,3.77 (3.29-4.25),3.84,2.87
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.415,89.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,208.0,0.212,60.0,173,8,4.62,3.48 (3.05-3.92),165,95.38,3.82 (3.50-4.13),2.71,5.76
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
