tipo_celular,module_size,ARHGEF6_MM,ARHGEF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.118,19.0,32,7,21.88,4.37 (3.53-5.20),25,78.12,3.54 (2.57-4.50),5.86,2.98
T cells 18,282.0,0.12,10.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,117.0,0.111,25.0,28,2,7.14,2.42 (2.37-2.47),26,92.86,5.56 (5.04-6.07),1.94,2.45
oligodendrocyte progenitor cells 7,4285.0,0.189,99.0,353,12,3.4,2.25 (1.27-3.22),341,96.6,3.96 (3.78-4.15),18.96,7.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,380.0,0.031,0.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,94.0,0.094,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.169,39.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.212,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.091,39.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,6,2.17,1.69 (0.87-2.51),270,97.83,3.60 (3.38-3.81),5.52,5.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,93.0,0.349,87.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,443.0,0.136,37.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.236,40.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752.0,0.119,9.0,96,1,1.04,4.12 (NA-NA),95,98.96,3.28 (2.95-3.61),1.42,4.35
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.167,95.0,161,12,7.45,2.89 (1.76-4.02),149,92.55,3.31 (3.04-3.59),7.55,5.26
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
