tipo_celular,module_size,ATP5F1E_MM,ATP5F1E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.393,78.0,98,7,7.14,3.15 (2.01-4.29),91,92.86,3.22 (2.71-3.73),2.25,14.32
T cells 18,506.0,0.269,72.0,225,26,11.56,3.24 (2.79-3.69),199,88.44,3.68 (3.40-3.97),3.47,8.48
astrocytes 5,328.0,0.275,84.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,448.0,0.226,82.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487.0,0.457,98.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.303,81.0,410,56,13.66,3.46 (3.24-3.69),354,86.34,4.42 (4.21-4.64),15.91,6.19
GABA neurons expressing GABA receptors 13,417.0,0.166,54.0,213,66,30.99,2.96 (2.65-3.27),147,69.01,4.31 (4.00-4.63),13.17,8.12
endothelial cells 9,916.0,0.541,95.0,302,49,16.23,3.50 (3.23-3.77),253,83.77,4.11 (3.84-4.39),17.87,9.25
oligodendrocytes 20,938.0,0.205,82.0,169,43,25.44,3.43 (3.11-3.75),126,74.56,3.50 (3.22-3.79),3.97,5.84
GABA like neurons 14,2402.0,0.589,95.0,455,61,13.41,3.06 (2.72-3.39),394,86.59,4.62 (4.42-4.82),18.44,7.35
astrocytes 8,603.0,0.192,89.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23),4.67,6.12
oligodendrocyte progenitor cells 12,1049.0,0.314,92.0,235,37,15.74,3.71 (3.47-3.96),198,84.26,3.85 (3.57-4.13),6.18,7.88
oligodendrocytes 10,483.0,0.219,74.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,301.0,0.448,68.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65),5.13,7.08
astrocytes 15,1768.0,0.056,19.0,105,12,11.43,1.56 (1.12-2.00),93,88.57,3.45 (3.10-3.80),8.54,3.39
oligodendrocytes 16,96.0,0.236,56.0,102,41,40.2,3.13 (2.75-3.51),61,59.8,3.54 (3.01-4.07),2.84,10.90
da neurons 6,729.0,0.259,90.0,182,12,6.59,3.52 (2.87-4.16),170,93.41,3.65 (3.38-3.91),12.06,8.27
astrocytes microglia 23,137.0,0.334,40.0,188,8,4.26,1.27 (0.66-1.89),180,95.74,4.54 (4.21-4.87),3.56,7.30
astrocytes 4,208.0,0.234,67.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546.0,0.212,70.0,252,56,22.22,2.96 (2.60-3.32),196,77.78,4.56 (4.27-4.84),7.96,8.28
microglia 1,406.0,0.398,77.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303.0,0.262,91.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),1.74,11.91
oligodendrocytes 2,526.0,0.39,81.0,213,42,19.72,3.76 (3.57-3.95),171,80.28,4.05 (3.69-4.41),8.73,7.74
