tipo_celular,module_size,ATP8B1_MM,ATP8B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.28,82.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85),2.25,1.82
T cells 18,393.0,0.145,46.0,59,3,5.08,3.24 (2.71-3.78),56,94.92,3.10 (2.57-3.63),1.95,5.53
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.175,56.0,164,2,1.22,2.52 (0.11-4.92),162,98.78,4.11 (3.78-4.44),10.01,7.50
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.107,30.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30),2.65,3.27
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.13,28.0,141,9,6.38,2.17 (1.45-2.89),132,93.62,3.02 (2.77-3.27),3.91,7.02
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.035,5.0,235,2,0.85,2.52 (0.11-4.92),233,99.15,3.84 (3.60-4.07),7.04,7.62
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,112.0,0.428,97.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.239,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.112,54.0,161,47,29.19,1.94 (1.63-2.24),114,70.81,3.99 (3.71-4.27),10.09,3.51
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
