tipo_celular,module_size,AXL_MM,AXL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.262,92.0,35,7,20.0,3.96 (2.98-4.95),28,80.0,3.70 (2.57-4.83),2.48,2.98
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.116,61.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,38,10.76,2.08 (1.68-2.48),315,89.24,4.18 (4.00-4.37),18.75,6.78
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.435,84.0,62,4,6.45,3.84 (1.96-5.72),58,93.55,4.06 (3.60-4.53),2.21,4.35
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.115,75.0,66,26,39.39,2.65 (2.06-3.25),40,60.61,3.71 (3.16-4.25),3.14,2.83
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,29,10.51,2.13 (1.74-2.53),247,89.49,3.77 (3.54-4.00),7.37,4.84
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,77.0,0.242,33.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768.0,0.06,24.0,105,16,15.24,1.67 (1.23-2.10),89,84.76,3.52 (3.16-3.87),5.09,3.78
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.178,0.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,721.0,0.156,58.0,61,4,6.56,3.16 (1.50-4.82),57,93.44,2.95 (2.52-3.38),2.23,6.29
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.177,65.0,43,2,4.65,4.36 (2.78-5.94),41,95.35,3.73 (3.20-4.26),4.90,4.46
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
