tipo_celular,module_size,C2CD5_MM,C2CD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.169,63.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,610.0,0.192,76.0,98,18,18.37,2.12 (1.45-2.80),80,81.63,3.37 (3.04-3.71),6.61,3.46
astrocytes 5,1141.0,0.146,71.0,166,8,4.82,1.37 (0.32-2.42),158,95.18,3.48 (3.23-3.73),5.67,4.49
oligodendrocyte progenitor cells 7,448.0,0.087,11.0,108,1,0.93,5.50 (NA-NA),107,99.07,3.23 (2.79-3.67),1.36,17.27
GABA neurons expressing GLU receptors 22,203.0,0.153,9.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,300.0,0.115,5.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,265.0,0.135,27.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84),1.50,1.84
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.12,44.0,297,4,1.35,4.68 (2.94-6.43),293,98.65,3.66 (3.46-3.87),4.30,5.53
oligodendrocytes 20,295.0,0.231,67.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300.0,0.126,15.0,306,35,11.44,3.34 (2.65-4.04),271,88.56,5.43 (5.17-5.68),5.73,6.83
astrocytes 8,260.0,0.096,32.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,143.0,0.51,98.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.137,46.0,358,34,9.5,2.07 (1.61-2.52),324,90.5,4.11 (3.92-4.30),16.07,8.78
connective tissue cells 21,114.0,0.243,31.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,1768.0,0.103,66.0,105,11,10.48,2.25 (1.51-3.00),94,89.52,3.34 (2.98-3.69),4.11,3.96
oligodendrocytes 16,90.0,0.228,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.101,50.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,44.0,0.386,82.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,787.0,0.157,61.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),2.41,5.80
oligodendrocytes 0,1186.0,0.165,82.0,300,9,3.0,5.06 (3.78-6.34),291,97.0,3.75 (3.54-3.96),3.53,4.18
microglia 1,1615.0,0.157,92.0,161,16,9.94,1.58 (0.92-2.24),145,90.06,3.49 (3.22-3.76),10.79,4.84
oligodendrocytes 3,1003.0,0.102,57.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.137,48.0,200,15,7.5,4.28 (3.27-5.29),185,92.5,3.56 (3.29-3.84),4.39,3.39
