tipo_celular,module_size,CADM3_MM,CADM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.142,30.0,266,3,1.13,2.50 (0.73-4.27),263,98.87,4.13 (3.92-4.35),4.87,4.98
oligodendrocyte progenitor cells 7,296.0,0.163,37.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.336,83.0,262,4,1.53,1.58 (-0.23-3.39),258,98.47,4.21 (3.97-4.46),5.31,4.08
GLU like neurons 17,1316.0,0.071,8.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.17,47.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,357.0,0.217,72.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.256,57.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54),23.10,8.80
astrocytes 8,520.0,0.233,76.0,288,3,1.04,2.03 (-0.19-4.26),285,98.96,4.20 (4.00-4.40),4.26,4.69
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,3,1.09,1.25 (-0.12-2.62),273,98.91,3.56 (3.35-3.78),8.26,5.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.044,13.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.258,79.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,124.0,0.34,66.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807.0,0.122,14.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
