tipo_celular,module_size,CEP83_MM,CEP83_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.181,25.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.15,44.0,32,6,18.75,4.56 (4.33-4.79),26,81.25,5.17 (4.54-5.80),4.91,3.54
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,34,9.63,2.20 (1.74-2.66),319,90.37,4.11 (3.93-4.30),20.83,6.70
GABA neurons expressing GLU receptors 22,823.0,0.149,31.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,637.0,0.043,2.0,91,15,16.48,1.53 (0.96-2.11),76,83.52,5.40 (4.98-5.82),3.69,2.93
da like neurons 11,265.0,0.203,57.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84),1.50,1.84
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.088,19.0,297,4,1.35,NA,293,98.65,3.67 (3.47-3.88),4.02,5.54
oligodendrocytes 20,279.0,0.472,96.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052.0,0.129,40.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,260.0,0.159,68.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708.0,0.048,15.0,32,12,37.5,1.88 (1.06-2.70),20,62.5,4.27 (3.24-5.30),3.45,2.09
oligodendrocytes 10,2107.0,0.247,81.0,358,31,8.66,2.10 (1.61-2.59),327,91.34,4.07 (3.88-4.26),17.89,8.67
connective tissue cells 21,118.0,0.288,45.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,261.0,0.233,84.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88),1.65,2.01
oligodendrocytes 16,65.0,0.198,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.331,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.12,8.0,65,6,9.23,4.27 (3.68-4.86),59,90.77,2.79 (2.37-3.20),2.56,6.07
oligodendrocytes 0,2078.0,0.114,49.0,238,8,3.36,2.49 (1.59-3.39),230,96.64,3.68 (3.45-3.90),6.58,4.97
microglia 1,813.0,0.174,87.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52),7.00,7.91
oligodendrocytes 3,854.0,0.123,79.0,76,6,7.89,2.13 (-1.64-5.89),70,92.11,2.80 (2.47-3.13),2.75,4.89
oligodendrocytes 2,804.0,0.125,18.0,84,16,19.05,2.29 (1.36-3.23),68,80.95,2.76 (2.40-3.12),2.74,3.55
