tipo_celular,module_size,CHUK_MM,CHUK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.089,8.0,71,7,9.86,1.92 (1.13-2.70),64,90.14,2.71 (2.26-3.16),2.94,3.65
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,64,18.13,2.35 (2.05-2.66),289,81.87,4.36 (4.18-4.55),20.94,5.21
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,172.0,0.148,20.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.041,8.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,3052.0,0.077,7.0,125,3,2.4,3.45 (2.73-4.16),122,97.6,3.35 (3.02-3.68),6.42,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.095,69.0,276,56,20.29,2.36 (2.10-2.61),220,79.71,3.96 (3.71-4.21),9.96,3.88
oligodendrocytes 10,2107.0,0.097,27.0,358,71,19.83,2.26 (1.99-2.53),287,80.17,4.45 (4.26-4.63),24.16,5.84
connective tissue cells 21,102.0,0.288,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.217,54.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.316,44.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.098,19.0,238,19,7.98,2.53 (2.21-2.84),219,92.02,3.75 (3.52-3.99),7.05,4.85
microglia 1,958.0,0.099,31.0,290,11,3.79,2.11 (1.54-2.68),279,96.21,3.90 (3.67-4.13),5.34,4.99
oligodendrocytes 3,639.0,0.047,6.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,1630.0,0.149,66.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
