tipo_celular,module_size,CLPTM1_MM,CLPTM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.244,63.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,388,0.072,7.0,84,8,9.52,4.96 (4.74-5.19),76,90.48,2.75 (2.43-3.08),2.29,4.54
astrocytes 5,932,0.067,3.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,628,0.169,53.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,848,0.262,68.0,262,5,1.91,1.59 (0.36-2.83),257,98.09,4.23 (3.98-4.47),4.79,4.09
GLU like neurons 17,1316,0.15,72.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.22,63.0,410,2,0.49,1.39 (-0.26-3.05),408,99.51,4.27 (4.08-4.45),15.05,7.48
GABA neurons expressing GABA receptors 13,357,0.145,40.0,237,1,0.42,4.99 (NA-NA),236,99.58,4.40 (4.17-4.64),1.73,4.19
endothelial cells 9,338,0.084,22.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,298,0.136,49.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.323,70.0,455,2,0.44,1.39 (-0.26-3.05),453,99.56,4.36 (4.17-4.54),25.07,8.76
astrocytes 8,1266,0.057,23.0,66,3,4.55,1.64 (-0.41-3.70),63,95.45,3.31 (2.89-3.73),3.16,2.94
oligodendrocyte progenitor cells 12,1049,0.099,54.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,806,0.214,66.0,261,2,0.77,1.76 (0.84-2.69),259,99.23,4.39 (4.15-4.63),9.83,6.04
connective tissue cells 21,139,0.341,70.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401,0.075,39.0,96,1,1.04,4.22 (NA-NA),95,98.96,3.60 (3.15-4.06),1.52,3.82
oligodendrocytes 16,107,0.295,90.0,11,0,0.0,NA,11,100.0,1.49 (0.81-2.16),NA,3.57
da neurons 6,518,0.125,64.0,122,4,3.28,1.42 (0.54-2.30),118,96.72,4.10 (3.71-4.50),6.94,3.37
astrocytes microglia 23,101,0.234,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.145,37.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,546,0.105,14.0,252,4,1.59,1.51 (0.77-2.24),248,98.41,4.14 (3.90-4.39),11.18,8.16
microglia 1,214,0.094,11.0,227,1,0.44,1.29 (NA-NA),226,99.56,4.11 (3.87-4.34),5.39,6.12
oligodendrocytes 3,457,0.083,30.0,345,2,0.58,1.76 (0.84-2.69),343,99.42,4.29 (4.09-4.50),8.29,5.68
oligodendrocytes 2,528,0.195,47.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
