tipo_celular,module_size,CRTC3_MM,CRTC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.137,37.0,98,32,32.65,1.84 (1.48-2.20),66,67.35,3.85 (3.53-4.17),6.70,2.74
astrocytes 5,1141.0,0.081,3.0,166,30,18.07,2.02 (1.71-2.34),136,81.93,3.77 (3.51-4.04),6.50,4.12
oligodendrocyte progenitor cells 7,666.0,0.183,63.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32),5.44,5.85
GABA neurons expressing GLU receptors 22,567.0,0.155,34.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.073,11.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.324,89.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,417.0,0.228,83.0,213,16,7.51,1.18 (0.74-1.62),197,92.49,4.04 (3.81-4.26),6.85,9.92
endothelial cells 9,303.0,0.171,47.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,403.0,0.212,82.0,18,9,50.0,0.97 (0.45-1.48),9,50.0,2.79 (1.85-3.73),5.00,2.58
GABA like neurons 14,3052.0,0.207,94.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.094,39.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.116,52.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.134,66.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104.0,0.188,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.043,11.0,96,4,4.17,1.90 (1.73-2.07),92,95.83,3.68 (3.22-4.14),1.89,3.88
oligodendrocytes 16,64.0,0.156,23.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,729.0,0.144,46.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,122.0,0.294,46.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721.0,0.118,6.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.182,94.0,300,6,2.0,3.24 (2.99-3.49),294,98.0,3.81 (3.60-4.02),3.28,4.17
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.117,70.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,804.0,0.147,45.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
