tipo_celular,module_size,CYFIP2_MM,CYFIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.155,47.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,423.0,0.103,16.0,80,3,3.75,2.99 (-0.84-6.82),77,96.25,3.41 (2.93-3.89),2.55,5.12
oligodendrocyte progenitor cells 7,448.0,0.137,48.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69),1.95,17.26
GABA neurons expressing GLU receptors 22,848.0,0.207,48.0,262,40,15.27,4.34 (3.56-5.13),222,84.73,4.12 (3.87-4.37),7.07,3.57
GLU like neurons 17,1316.0,0.214,95.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,108.0,0.332,85.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,266.0,0.163,54.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.182,43.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300.0,0.133,18.0,306,43,14.05,4.16 (3.42-4.90),263,85.95,5.29 (5.02-5.56),16.86,5.05
astrocytes 8,727.0,0.145,71.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,138.0,0.462,47.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA,1.49,3.47
oligodendrocytes 10,806.0,0.251,71.0,261,23,8.81,5.25 (4.33-6.17),238,91.19,4.27 (4.03-4.52),5.78,6.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.07,33.0,105,14,13.33,1.38 (0.96-1.81),91,86.67,3.52 (3.18-3.86),5.75,3.71
oligodendrocytes 16,313.0,0.289,72.0,291,3,1.03,3.15 (0.54-5.77),288,98.97,4.34 (4.12-4.57),1.88,3.84
da neurons 6,300.0,0.231,72.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,49.0,0.326,36.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,514.0,0.187,52.0,95,6,6.32,1.90 (0.36-3.44),89,93.68,3.48 (3.05-3.91),3.32,4.73
oligodendrocytes 0,2078.0,0.097,18.0,238,3,1.26,1.85 (0.24-3.46),235,98.74,3.66 (3.44-3.88),5.51,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.096,38.0,345,22,6.38,3.74 (3.13-4.35),323,93.62,4.31 (4.09-4.53),11.71,5.28
oligodendrocytes 2,99.0,0.13,10.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
