tipo_celular,module_size,DNAJB1_MM,DNAJB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.176,43.0,102,29,28.43,2.26 (1.87-2.65),73,71.57,4.00 (3.57-4.43),3.90,2.69
T cells 18,477.0,0.459,100.0,43,3,6.98,8.28 (NA-NA),40,93.02,1.85 (1.47-2.22),1.56,7.54
astrocytes 5,423.0,0.192,73.0,80,7,8.75,5.61 (3.14-8.08),73,91.25,3.23 (2.78-3.68),3.18,5.20
oligodendrocyte progenitor cells 7,666.0,0.776,100.0,127,29,22.83,3.32 (2.08-4.55),98,77.17,3.92 (3.58-4.25),3.55,6.52
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.108,19.0,410,23,5.61,4.33 (3.16-5.50),387,94.39,4.24 (4.05-4.43),13.45,7.16
GABA neurons expressing GABA receptors 13,86.0,0.084,4.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,385.0,0.531,99.0,275,79,28.73,2.65 (2.22-3.08),196,71.27,4.52 (4.25-4.80),8.71,4.74
oligodendrocytes 20,271.0,0.137,32.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.223,49.0,455,43,9.45,2.60 (1.83-3.36),412,90.55,4.52 (4.34-4.70),17.96,7.88
astrocytes 8,577.0,0.206,93.0,83,11,13.25,4.65 (2.73-6.56),72,86.75,3.06 (2.64-3.49),3.31,4.65
oligodendrocyte progenitor cells 12,708.0,0.151,64.0,32,11,34.38,1.44 (0.70-2.17),21,65.62,4.25 (3.34-5.15),3.35,2.21
oligodendrocytes 10,483.0,0.132,55.0,129,5,3.88,4.93 (2.70-7.16),124,96.12,3.37 (2.97-3.76),4.89,19.77
connective tissue cells 21,142.0,0.253,19.0,55,28,50.91,3.76 (2.52-5.00),27,49.09,2.96 (1.91-4.00),3.76,2.80
astrocytes 15,338.0,0.081,9.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,122.0,0.175,30.0,11,1,9.09,5.16 (NA-NA),10,90.91,3.34 (3.11-3.58),3.17,1.82
da neurons 6,307.0,0.084,17.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,327.0,0.34,54.0,120,30,25.0,2.90 (2.01-3.78),90,75.0,3.84 (3.58-4.11),3.69,2.50
astrocytes 4,514.0,0.304,86.0,95,14,14.74,3.72 (1.75-5.70),81,85.26,3.32 (2.92-3.72),3.39,4.86
oligodendrocytes 0,613.0,0.192,87.0,127,29,22.83,3.06 (2.38-3.74),98,77.17,3.05 (2.54-3.56),3.26,7.17
microglia 1,958.0,0.299,100.0,290,28,9.66,3.03 (2.27-3.80),262,90.34,3.89 (3.65-4.13),4.10,5.10
oligodendrocytes 3,357.0,0.075,33.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,1630.0,0.171,95.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
