tipo_celular,module_size,DUSP3_MM,DUSP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.214,61.0,410,11,2.68,3.04 (2.09-3.99),399,97.32,4.28 (4.09-4.47),7.23,7.52
GABA neurons expressing GABA receptors 13,238.0,0.111,16.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338.0,0.119,45.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,295.0,0.144,30.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402.0,0.137,20.0,455,23,5.05,1.94 (1.32-2.56),432,94.95,4.51 (4.33-4.69),22.42,8.11
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.149,47.0,261,5,1.92,3.20 (1.62-4.77),256,98.08,4.39 (4.15-4.63),6.71,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.146,17.0,291,4,1.37,3.22 (0.52-5.92),287,98.63,4.34 (4.12-4.57),2.89,3.83
da neurons 6,553.0,0.118,43.0,124,6,4.84,3.11 (1.60-4.62),118,95.16,4.25 (3.84-4.65),2.67,3.05
astrocytes microglia 23,63.0,0.395,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.121,64.0,238,7,2.94,2.79 (1.89-3.69),231,97.06,3.67 (3.44-3.89),7.38,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.072,22.0,345,18,5.22,3.77 (2.83-4.72),327,94.78,4.30 (4.09-4.52),3.10,5.84
oligodendrocytes 2,1630.0,0.182,99.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
