tipo_celular,module_size,DZIP3_MM,DZIP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.117,30.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,499.0,0.165,52.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,28,7.93,2.32 (1.68-2.96),325,92.07,4.03 (3.84-4.21),18.71,7.15
GABA neurons expressing GLU receptors 22,703.0,0.186,51.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1316.0,0.129,55.0,101,3,2.97,2.76 (2.30-3.22),98,97.03,3.06 (2.70-3.42),2.69,3.07
da like neurons 11,289.0,0.274,83.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,357.0,0.127,30.0,237,1,0.42,NA,236,99.58,4.41 (4.18-4.64),3.88,4.19
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.064,29.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300.0,0.065,4.0,306,6,1.96,2.24 (1.15-3.33),300,98.04,5.16 (4.90-5.42),3.69,6.77
astrocytes 8,354.0,0.173,77.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.136,96.0,276,23,8.33,2.55 (1.84-3.26),253,91.67,3.63 (3.40-3.85),10.53,4.62
oligodendrocytes 10,806.0,0.129,40.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,136.0,0.268,42.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,338.0,0.16,57.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,313.0,0.154,22.0,291,3,1.03,2.49 (-1.31-6.29),288,98.97,4.34 (4.12-4.57),2.75,3.83
da neurons 6,300.0,0.116,33.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,111.0,0.288,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.176,84.0,96,6,6.25,4.95 (4.11-5.79),90,93.75,3.22 (2.89-3.56),3.09,4.40
oligodendrocytes 0,479.0,0.148,47.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.121,69.0,15,5,33.33,1.93 (0.82-3.03),10,66.67,4.18 (2.26-6.10),2.49,2.08
oligodendrocytes 2,804.0,0.181,79.0,84,18,21.43,2.95 (2.09-3.81),66,78.57,2.62 (2.26-2.99),4.37,3.13
