tipo_celular,module_size,EIF2AK3_MM,EIF2AK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.221,79.0,97,9,9.28,4.02 (3.22-4.82),88,90.72,2.93 (2.51-3.36),4.73,4.92
T cells 18,610.0,0.13,34.0,98,44,44.9,2.32 (1.95-2.70),54,55.1,3.88 (3.48-4.27),4.32,3.81
astrocytes 5,423.0,0.16,56.0,80,4,5.0,4.65 (1.89-7.42),76,95.0,3.32 (2.85-3.80),3.24,5.11
oligodendrocyte progenitor cells 7,666.0,0.149,36.0,127,28,22.05,3.58 (2.96-4.20),99,77.95,3.95 (3.55-4.35),3.56,6.48
GABA neurons expressing GLU receptors 22,703.0,0.283,93.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,1316.0,0.204,93.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,120.0,0.262,57.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.197,55.0,54,1,1.85,5.15 (NA-NA),53,98.15,4.83 (4.19-5.47),1.57,5.10
oligodendrocytes 20,348.0,0.064,32.0,33,10,30.3,3.48 (3.10-3.86),23,69.7,2.36 (1.71-3.01),2.85,3.61
GABA like neurons 14,3052.0,0.145,56.0,125,3,2.4,3.00 (NA-NA),122,97.6,3.36 (3.03-3.68),2.77,8.76
astrocytes 8,577.0,0.139,78.0,83,11,13.25,3.94 (2.62-5.26),72,86.75,3.12 (2.65-3.58),2.88,4.71
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,61,22.1,2.53 (2.25-2.82),215,77.9,3.90 (3.64-4.15),6.65,4.67
oligodendrocytes 10,2107.0,0.134,45.0,358,80,22.35,2.42 (2.15-2.70),278,77.65,4.44 (4.25-4.63),18.24,6.95
connective tissue cells 21,139.0,0.344,78.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.182,98.0,105,32,30.48,2.56 (2.02-3.11),73,69.52,3.53 (3.13-3.93),3.95,3.99
oligodendrocytes 16,123.0,0.57,100.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.294,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.166,39.0,95,10,10.53,3.84 (2.14-5.55),85,89.47,3.29 (2.88-3.70),2.87,4.85
oligodendrocytes 0,2078.0,0.125,72.0,238,23,9.66,2.76 (2.34-3.18),215,90.34,3.75 (3.51-3.99),5.90,4.93
microglia 1,958.0,0.142,85.0,290,35,12.07,3.38 (2.80-3.97),255,87.93,3.88 (3.63-4.13),5.28,4.96
oligodendrocytes 3,1003.0,0.064,15.0,111,2,1.8,3.91 (1.57-6.25),109,98.2,3.29 (2.94-3.64),1.79,4.28
oligodendrocytes 2,1630.0,0.137,41.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52),2.60,3.61
