tipo_celular,module_size,FARP2_MM,FARP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.134,23.0,102,6,5.88,1.81 (0.69-2.93),96,94.12,3.61 (3.24-3.98),5.18,2.90
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.093,25.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,666.0,0.216,78.0,127,9,7.09,2.13 (1.43-2.82),118,92.91,4.03 (3.69-4.37),4.61,5.93
GABA neurons expressing GLU receptors 22,1069.0,0.165,51.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.137,53.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.105,31.0,133,7,5.26,3.58 (2.16-5.00),126,94.74,3.23 (2.91-3.55),2.80,4.24
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.167,39.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,228.0,0.244,67.0,5,2,40.0,1.89 (-1.31-5.09),3,60.0,4.16 (1.32-7.01),3.73,1.62
GABA like neurons 14,3052.0,0.089,12.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67),2.35,8.66
astrocytes 8,771.0,0.084,33.0,48,4,8.33,4.77 (2.06-7.48),44,91.67,4.39 (3.60-5.18),2.20,3.23
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,6,2.17,2.78 (1.46-4.09),270,97.83,3.56 (3.34-3.78),3.23,5.15
oligodendrocytes 10,1277.0,0.164,78.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,145.0,0.337,73.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1401.0,0.128,81.0,96,9,9.38,4.16 (3.39-4.93),87,90.62,3.54 (3.05-4.04),3.66,3.81
oligodendrocytes 16,65.0,0.154,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.289,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.142,34.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,1186.0,0.146,52.0,300,7,2.33,3.76 (3.14-4.38),293,97.67,3.79 (3.58-4.00),4.71,4.14
microglia 1,958.0,0.124,69.0,290,10,3.45,2.48 (1.47-3.48),280,96.55,3.87 (3.64-4.11),4.18,5.03
oligodendrocytes 3,639.0,0.123,70.0,15,3,20.0,1.15 (0.02-2.28),12,80.0,3.96 (2.42-5.50),3.06,2.01
oligodendrocytes 2,131.0,0.208,64.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
