tipo_celular,module_size,FBXO21_MM,FBXO21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.101,12.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,518,0.178,65.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,423,0.112,23.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.155,79.0,353,30,8.5,2.46 (1.96-2.97),323,91.5,4.05 (3.86-4.24),21.84,6.78
GABA neurons expressing GLU receptors 22,487,0.216,52.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,380,0.128,21.0,39,11,28.21,3.46 (2.97-3.94),28,71.79,2.78 (2.04-3.51),2.05,2.77
da like neurons 11,265,0.124,22.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,70,0.167,40.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,559,0.079,12.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,275,0.177,40.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.206,43.0,455,18,3.96,2.29 (1.64-2.94),437,96.04,4.46 (4.28-4.65),19.22,8.41
astrocytes 8,260,0.104,38.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708,0.128,58.0,32,3,9.38,2.45 (0.30-4.59),29,90.62,3.34 (2.47-4.22),3.89,2.46
oligodendrocytes 10,806,0.147,46.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,111,0.265,38.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,443,0.179,71.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,151,0.205,55.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,448,0.1,49.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,95,0.235,9.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,787,0.173,86.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.13,28.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,958,0.086,13.0,290,4,1.38,3.25 (2.40-4.09),286,98.62,3.82 (3.59-4.06),6.51,4.98
oligodendrocytes 3,639,0.111,62.0,15,5,33.33,1.93 (0.82-3.03),10,66.67,4.18 (2.26-6.10),2.49,2.08
oligodendrocytes 2,804,0.164,63.0,84,19,22.62,2.78 (2.12-3.45),65,77.38,2.66 (2.27-3.05),3.93,3.24
