tipo_celular,module_size,FLNA_MM,FLNA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.393,85.0,225,51,22.67,3.43 (2.95-3.90),174,77.33,3.68 (3.38-3.97),10.25,7.21
astrocytes 5,322.0,0.143,36.0,58,32,55.17,3.70 (3.23-4.17),26,44.83,4.86 (4.17-5.56),2.08,2.61
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.575,98.0,54,16,29.63,5.47 (4.78-6.17),38,70.37,4.56 (3.74-5.38),5.19,4.97
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.152,81.0,89,9,10.11,1.60 (0.83-2.38),80,89.89,2.95 (2.58-3.31),5.13,6.15
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,142.0,0.402,91.0,55,14,25.45,2.55 (1.56-3.55),41,74.55,4.06 (2.87-5.25),2.59,3.52
astrocytes 15,1768.0,0.107,68.0,105,36,34.29,2.37 (1.96-2.78),69,65.71,3.71 (3.28-4.14),5.92,2.96
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.25,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208.0,0.15,24.0,173,29,16.76,4.40 (4.03-4.77),144,83.24,3.65 (3.29-4.00),3.13,6.12
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
