tipo_celular,module_size,GAK_MM,GAK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.095,9.0,73,5,6.85,4.17 (3.91-4.43),68,93.15,3.51 (3.14-3.88),2.74,3.26
T cells 18,727,0.161,63.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932,0.113,56.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,48,13.6,2.61 (2.16-3.07),305,86.4,4.16 (3.98-4.35),19.28,6.30
GABA neurons expressing GLU receptors 22,459,0.069,7.0,165,9,5.45,2.38 (1.58-3.17),156,94.55,5.30 (4.96-5.63),4.98,4.04
GLU like neurons 17,1247,0.169,72.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31),2.61,3.28
da like neurons 11,853,0.136,54.0,133,25,18.8,2.26 (1.70-2.82),108,81.2,3.54 (3.19-3.88),4.51,4.08
GABA neurons expressing GABA receptors 13,288,0.128,25.0,93,25,26.88,4.43 (3.58-5.28),68,73.12,5.54 (4.95-6.12),5.70,3.31
endothelial cells 9,412,0.104,18.0,141,7,4.96,1.98 (1.18-2.78),134,95.04,3.02 (2.77-3.26),4.35,6.95
oligodendrocytes 20,403,0.144,59.0,18,10,55.56,1.46 (0.57-2.36),8,44.44,2.39 (1.42-3.37),4.52,2.88
GABA like neurons 14,2090,0.196,78.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,727,0.175,83.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,39,14.13,3.20 (2.65-3.74),237,85.87,3.62 (3.38-3.86),7.96,4.64
oligodendrocytes 10,2107,0.166,57.0,358,47,13.13,2.39 (1.95-2.84),311,86.87,4.17 (3.98-4.36),18.17,8.16
connective tissue cells 21,118,0.243,22.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768,0.053,16.0,105,24,22.86,2.19 (1.73-2.66),81,77.14,3.55 (3.16-3.94),4.46,3.84
oligodendrocytes 16,82,0.163,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.064,4.0,95,3,3.16,5.57 (5.11-6.03),92,96.84,4.81 (4.36-5.27),2.55,3.39
astrocytes microglia 23,114,0.21,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.152,50.0,61,5,8.2,3.11 (1.81-4.40),56,91.8,2.95 (2.52-3.39),2.29,6.35
oligodendrocytes 0,2078,0.111,43.0,238,13,5.46,3.26 (2.38-4.15),225,94.54,3.66 (3.43-3.89),6.88,4.92
microglia 1,315,0.093,11.0,144,13,9.03,4.06 (3.38-4.75),131,90.97,4.50 (4.17-4.84),3.47,4.28
oligodendrocytes 3,357,0.111,61.0,127,2,1.57,6.04 (4.37-7.71),125,98.43,3.06 (2.74-3.39),2.00,4.27
oligodendrocytes 2,407,0.151,48.0,122,21,17.21,1.64 (1.12-2.16),101,82.79,3.81 (3.39-4.22),2.99,2.64
