tipo_celular,module_size,GCLC_MM,GCLC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.222,60.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,624.0,0.099,13.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,932.0,0.088,18.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,666.0,0.136,26.0,127,7,5.51,2.03 (0.58-3.47),120,94.49,3.94 (3.61-4.28),3.78,5.96
GABA neurons expressing GLU receptors 22,599.0,0.126,11.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,489.0,0.103,24.0,42,1,2.38,NA,41,97.62,5.99 (5.44-6.55),1.55,3.25
da like neurons 11,89.0,0.178,31.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.099,18.0,62,4,6.45,4.17 (2.82-5.51),58,93.55,4.04 (3.56-4.51),3.78,4.24
oligodendrocytes 20,348.0,0.194,71.0,33,3,9.09,3.17 (2.63-3.70),30,90.91,2.69 (2.15-3.22),1.84,3.54
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.153,57.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,39,14.13,1.98 (1.72-2.24),237,85.87,3.89 (3.66-4.12),6.84,4.82
oligodendrocytes 10,2107.0,0.038,3.0,358,45,12.57,2.11 (1.77-2.45),313,87.43,4.22 (4.03-4.41),20.79,7.85
connective tissue cells 21,147.0,0.225,45.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768.0,0.048,13.0,105,14,13.33,1.39 (0.98-1.80),91,86.67,3.52 (3.18-3.86),5.73,3.71
oligodendrocytes 16,87.0,0.162,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.277,33.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,752.0,0.12,10.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70),2.73,4.48
oligodendrocytes 0,479.0,0.131,33.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,346.0,0.208,76.0,43,1,2.33,2.72 (NA-NA),42,97.67,3.80 (3.28-4.31),1.32,4.56
oligodendrocytes 3,639.0,0.134,76.0,15,4,26.67,1.25 (-0.07-2.56),11,73.33,3.93 (2.38-5.49),2.94,1.96
oligodendrocytes 2,348.0,0.146,22.0,114,3,2.63,3.44 (1.91-4.98),111,97.37,5.18 (4.76-5.60),3.09,4.43
