tipo_celular,module_size,H6PD_MM,H6PD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.13,33.0,98,15,15.31,1.14 (0.74-1.54),83,84.69,3.52 (3.23-3.82),8.68,3.20
astrocytes 5,322.0,0.08,3.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65),1.47,2.33
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,19,5.38,1.34 (0.96-1.71),334,94.62,4.08 (3.90-4.26),37.77,6.37
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.043,16.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2090.0,0.12,26.0,74,4,5.41,1.96 (1.34-2.58),70,94.59,2.99 (2.60-3.38),3.20,10.92
astrocytes 8,577.0,0.035,6.0,83,4,4.82,1.79 (1.12-2.46),79,95.18,3.34 (2.88-3.81),2.56,4.57
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,17,6.16,2.04 (1.61-2.48),259,93.84,3.67 (3.45-3.90),12.58,4.62
oligodendrocytes 10,1277.0,0.059,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.408,92.0,2,1,50.0,6.60 (NA-NA),1,50.0,NA,2.43,3.95
astrocytes 15,1768.0,0.028,2.0,105,10,9.52,1.87 (1.22-2.51),95,90.48,3.37 (3.01-3.72),9.12,3.44
oligodendrocytes 16,121.0,0.266,77.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.375,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.157,72.0,104,11,10.58,1.67 (1.05-2.29),93,89.42,3.02 (2.72-3.31),16.30,4.11
oligodendrocytes 0,2078.0,0.126,75.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89),15.43,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.058,10.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.14,47.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
