tipo_celular,module_size,HIVEP2_MM,HIVEP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.347,90.0,102,17,16.67,1.78 (1.39-2.17),85,83.33,3.86 (3.48-4.25),3.48,2.94
T cells 18,388.0,0.143,45.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,423.0,0.187,72.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,448.0,0.085,10.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459.0,0.085,13.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1316.0,0.124,50.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,71.0,0.392,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.281,86.0,141,8,5.67,1.99 (1.35-2.64),133,94.33,3.03 (2.78-3.27),4.08,6.98
oligodendrocytes 20,348.0,0.027,4.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300.0,0.148,23.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45),5.88,6.72
astrocytes 8,262.0,0.23,85.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,143.0,0.402,31.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.282,87.0,358,44,12.29,1.68 (1.43-1.92),314,87.71,4.30 (4.12-4.47),31.22,6.43
connective tissue cells 21,104.0,0.236,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.084,48.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89),7.65,3.37
oligodendrocytes 16,149.0,0.153,28.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.288,35.0,120,9,7.5,1.14 (0.67-1.60),111,92.5,3.86 (3.58-4.14),3.64,2.73
astrocytes 4,514.0,0.181,50.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,2078.0,0.156,100.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,480.0,0.348,93.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003.0,0.218,97.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.265,73.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
