tipo_celular,module_size,HMGCS1_MM,HMGCS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.236,83.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17),3.43,5.90
GABA neurons expressing GLU receptors 22,1069.0,0.164,49.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489.0,0.132,46.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,1220.0,0.229,65.0,410,9,2.2,3.35 (2.65-4.05),401,97.8,4.28 (4.08-4.47),6.90,7.53
GABA neurons expressing GABA receptors 13,265.0,0.177,62.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.046,11.0,169,8,4.73,2.67 (1.51-3.82),161,95.27,3.53 (3.31-3.75),3.12,5.48
GABA like neurons 14,2402.0,0.356,74.0,455,11,2.42,2.19 (1.24-3.14),444,97.58,4.42 (4.23-4.60),18.58,8.59
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.265,83.0,32,3,9.38,2.45 (0.30-4.59),29,90.62,3.34 (2.47-4.22),3.89,2.46
oligodendrocytes 10,735.0,0.202,89.0,277,7,2.53,3.78 (3.63-3.93),270,97.47,3.90 (3.65-4.15),3.21,9.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.192,50.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,518.0,0.203,96.0,122,4,3.28,1.41 (0.40-2.42),118,96.72,4.10 (3.71-4.50),2.36,3.52
astrocytes microglia 23,110.0,0.355,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.145,63.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.09,40.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
