tipo_celular,module_size,IFT172_MM,IFT172_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.12,66.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08),1.81,4.33
oligodendrocyte progenitor cells 7,4285.0,0.148,69.0,353,25,7.08,2.22 (1.59-2.85),328,92.92,4.04 (3.86-4.23),20.95,7.08
GABA neurons expressing GLU receptors 22,848.0,0.207,48.0,262,15,5.73,3.19 (2.41-3.97),247,94.27,4.22 (3.97-4.48),8.51,3.84
GLU like neurons 17,1247.0,0.189,79.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,61.0,0.28,47.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.391,97.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.238,92.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.046,18.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,218.0,0.052,20.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,1277.0,0.085,35.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,95.0,0.29,57.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,1401.0,0.14,86.0,96,10,10.42,3.14 (2.38-3.90),86,89.58,3.68 (3.18-4.18),4.54,3.71
oligodendrocytes 16,151.0,0.206,56.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.28,23.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,721.0,0.155,57.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.108,37.0,238,4,1.68,1.79 (0.71-2.87),234,98.32,3.67 (3.45-3.89),10.17,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.083,19.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,407.0,0.147,42.0,122,7,5.74,1.04 (0.39-1.68),115,94.26,3.51 (3.12-3.90),3.71,2.64
