tipo_celular,module_size,INTU_MM,INTU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.134,54.0,166,11,6.63,2.89 (1.65-4.13),155,93.37,3.43 (3.18-3.68),3.67,4.61
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,27,7.65,2.42 (1.77-3.08),326,92.35,4.04 (3.86-4.23),19.03,7.16
GABA neurons expressing GLU receptors 22,599.0,0.19,39.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.048,3.0,135,11,8.15,2.09 (1.45-2.74),124,91.85,3.31 (2.98-3.63),3.23,3.80
da like neurons 11,87.0,0.232,35.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.086,32.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.154,50.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,727.0,0.262,98.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,23,8.33,3.09 (2.41-3.77),253,91.67,3.59 (3.36-3.82),6.33,5.00
oligodendrocytes 10,1277.0,0.154,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,96.0,0.256,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.141,46.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,116.0,0.172,28.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.263,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.162,63.0,96,7,7.29,3.05 (2.11-3.98),89,92.71,3.31 (2.96-3.66),3.26,4.40
oligodendrocytes 0,479.0,0.111,15.0,40,6,15.0,4.83 (3.88-5.78),34,85.0,6.10 (5.54-6.67),2.43,3.65
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.197,93.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.228,98.0,84,10,11.9,2.59 (1.57-3.62),74,88.1,2.70 (2.35-3.06),2.38,3.53
