tipo_celular,module_size,KNDC1_MM,KNDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.268,84.0,28,5,17.86,5.65 (5.07-6.23),23,82.14,5.22 (4.50-5.94),2.33,2.43
oligodendrocyte progenitor cells 7,200.0,0.169,44.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599.0,0.177,31.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247.0,0.163,69.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,172.0,0.26,59.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,70.0,0.169,44.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.24,65.0,306,58,18.95,4.79 (4.15-5.42),248,81.05,5.18 (4.90-5.47),14.44,4.90
astrocytes 8,1266.0,0.165,90.0,66,15,22.73,3.67 (2.79-4.54),51,77.27,3.07 (2.60-3.54),2.95,2.95
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,19,6.88,2.12 (1.66-2.57),257,93.12,3.68 (3.46-3.91),9.33,4.80
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.125,79.0,96,10,10.42,4.25 (2.91-5.60),86,89.58,3.52 (3.04-4.00),2.81,3.91
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.139,58.0,124,4,3.23,3.79 (2.84-4.73),120,96.77,4.20 (3.79-4.61),2.58,3.05
astrocytes microglia 23,132.0,0.23,7.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,251.0,0.252,90.0,34,1,2.94,NA,33,97.06,5.25 (4.63-5.86),1.73,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
