tipo_celular,module_size,LRRTM4_MM,LRRTM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.226,90.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,459.0,0.304,90.0,165,1,0.61,2.43 (NA-NA),164,99.39,5.09 (4.74-5.43),5.23,4.08
GLU like neurons 17,795.0,0.325,96.0,80,1,1.25,2.43 (NA-NA),79,98.75,5.74 (5.34-6.14),4.06,3.00
da like neurons 11,191.0,0.436,81.0,93,1,1.08,2.43 (NA-NA),92,98.92,5.70 (5.30-6.09),5.61,4.12
GABA neurons expressing GABA receptors 13,288.0,0.139,32.0,93,1,1.08,2.43 (NA-NA),92,98.92,5.19 (4.69-5.68),3.06,3.96
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.312,78.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300.0,0.238,65.0,306,1,0.33,2.43 (NA-NA),305,99.67,5.10 (4.84-5.37),6.04,6.71
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.468,97.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.19,88.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,149.0,0.501,96.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.222,92.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.095,27.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,921.0,0.085,2.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
