tipo_celular,module_size,MACF1_MM,MACF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.103,12.0,32,3,9.38,2.24 (NA-NA),29,90.62,3.78 (2.98-4.58),2.33,3.74
T cells 18,349,0.095,17.0,68,36,52.94,4.52 (3.77-5.27),32,47.06,4.11 (3.30-4.91),2.63,4.08
astrocytes 5,322,0.31,90.0,58,29,50.0,3.74 (3.25-4.23),29,50.0,4.81 (4.13-5.49),2.06,2.58
oligodendrocyte progenitor cells 7,200,0.145,36.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599,0.147,19.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.227,82.0,135,24,17.78,2.46 (1.93-2.98),111,82.22,3.38 (3.03-3.73),4.17,3.66
da like neurons 11,200,0.327,88.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,288,0.209,65.0,93,53,56.99,5.16 (4.51-5.81),40,43.01,5.12 (4.37-5.88),4.81,2.80
endothelial cells 9,412,0.266,82.0,141,7,4.96,2.17 (1.18-3.15),134,95.04,3.01 (2.76-3.25),4.39,6.95
oligodendrocytes 20,676,0.327,58.0,110,66,60.0,4.99 (4.45-5.53),44,40.0,5.00 (4.20-5.80),3.77,3.15
GABA like neurons 14,1300,0.348,96.0,306,102,33.33,4.72 (4.23-5.20),204,66.67,5.35 (5.06-5.63),9.34,5.39
astrocytes 8,1266,0.369,100.0,66,25,37.88,2.73 (2.02-3.44),41,62.12,3.61 (3.15-4.08),2.94,2.96
oligodendrocyte progenitor cells 12,254,0.092,17.0,37,21,56.76,4.12 (3.36-4.88),16,43.24,5.18 (4.43-5.94),2.56,2.35
oligodendrocytes 10,236,0.071,1.0,82,33,40.24,4.77 (4.12-5.41),49,59.76,5.13 (4.39-5.87),3.16,4.29
connective tissue cells 21,147,0.176,21.0,4,1,25.0,5.57 (NA-NA),3,75.0,5.26 (4.65-5.88),1.71,4.33
astrocytes 15,1401,0.229,98.0,96,27,28.12,4.16 (3.45-4.87),69,71.88,3.37 (2.82-3.93),3.71,3.83
oligodendrocytes 16,287,0.184,22.0,105,73,69.52,4.69 (4.15-5.24),32,30.48,6.18 (5.72-6.63),3.61,3.15
da neurons 6,553,0.264,93.0,124,5,4.03,3.55 (0.28-6.82),119,95.97,4.20 (3.81-4.60),3.08,3.03
astrocytes microglia 23,91,0.428,97.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.25,82.0,22,3,13.64,5.37 (2.45-8.29),19,86.36,4.36 (3.40-5.33),1.89,2.04
oligodendrocytes 0,261,0.117,15.0,42,29,69.05,3.62 (2.81-4.43),13,30.95,5.19 (4.14-6.24),2.22,2.39
microglia 1,315,0.159,43.0,144,29,20.14,4.29 (3.76-4.82),115,79.86,4.51 (4.14-4.87),3.21,4.46
oligodendrocytes 3,357,0.301,98.0,127,2,1.57,5.19 (NA-NA),125,98.43,3.10 (2.77-3.43),2.08,4.27
oligodendrocytes 2,407,0.236,97.0,122,18,14.75,1.48 (0.95-2.02),104,85.25,3.76 (3.35-4.16),2.66,2.71
