tipo_celular,module_size,MAP3K3_MM,MAP3K3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.127,5.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,624.0,0.161,57.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,156.0,0.134,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,25,7.08,2.45 (1.92-2.97),328,92.92,4.03 (3.85-4.22),18.46,7.27
GABA neurons expressing GLU receptors 22,400.0,0.099,5.0,24,4,16.67,1.67 (0.29-3.06),20,83.33,2.25 (1.70-2.81),7.37,2.82
GLU like neurons 17,489.0,0.072,8.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,853.0,0.176,75.0,133,15,11.28,2.76 (2.02-3.49),118,88.72,3.33 (2.99-3.67),4.66,4.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.195,48.0,120,50,41.67,4.44 (4.00-4.88),70,58.33,4.75 (4.30-5.20),4.58,2.99
oligodendrocytes 20,250.0,0.192,58.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.195,76.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.088,58.0,66,15,22.73,3.07 (2.40-3.74),51,77.27,3.28 (2.76-3.80),3.31,2.85
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,23,8.33,2.57 (2.05-3.10),253,91.67,3.66 (3.43-3.89),9.44,4.72
oligodendrocytes 10,2107.0,0.173,59.0,358,30,8.38,2.26 (1.79-2.73),328,91.62,4.06 (3.87-4.26),17.43,8.75
connective tissue cells 21,112.0,0.337,91.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89),1.40,2.02
astrocytes 15,418.0,0.025,5.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,81.0,0.185,53.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.249,43.0,57,9,15.79,3.32 (2.85-3.79),48,84.21,2.51 (2.09-2.92),2.80,3.43
astrocytes 4,721.0,0.14,28.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,1186.0,0.139,39.0,300,12,4.0,3.70 (3.32-4.07),288,96.0,3.80 (3.58-4.01),6.74,4.05
microglia 1,1615.0,0.156,92.0,161,23,14.29,2.51 (1.93-3.08),138,85.71,3.43 (3.14-3.73),8.24,4.96
oligodendrocytes 3,854.0,0.062,18.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,407.0,0.144,37.0,122,13,10.66,1.67 (1.05-2.29),109,89.34,3.59 (3.18-4.00),3.24,2.64
