tipo_celular,module_size,MARCKSL1_MM,MARCKSL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.405,98.0,164,7,4.27,4.32 (3.17-5.46),157,95.73,4.07 (3.73-4.41),4.28,7.67
GABA neurons expressing GLU receptors 22,487.0,0.397,92.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,637.0,0.256,76.0,91,20,21.98,2.79 (1.77-3.80),71,78.02,5.13 (4.61-5.65),3.47,2.94
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.154,34.0,302,6,1.99,2.44 (1.15-3.73),296,98.01,4.02 (3.80-4.25),8.80,10.69
oligodendrocytes 20,938.0,0.436,99.0,169,11,6.51,2.72 (1.30-4.14),158,93.49,3.52 (3.30-3.74),9.76,5.06
GABA like neurons 14,2402.0,0.241,53.0,455,14,3.08,2.15 (0.99-3.30),441,96.92,4.41 (4.23-4.59),30.35,8.15
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.343,93.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07),13.48,7.41
oligodendrocytes 10,1277.0,0.202,91.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,250.0,0.32,56.0,117,18,15.38,3.63 (2.85-4.41),99,84.62,5.78 (5.38-6.18),3.68,3.75
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,199.0,0.245,90.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.347,95.0,252,15,5.95,2.04 (0.99-3.10),237,94.05,4.22 (3.97-4.46),23.72,7.23
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.272,93.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.611,99.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
