tipo_celular,module_size,MED14_MM,MED14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.094,9.0,102,30,29.41,2.33 (1.95-2.72),72,70.59,4.02 (3.58-4.46),3.25,2.94
T cells 18,727.0,0.191,82.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.121,60.0,136,8,5.88,3.03 (1.94-4.11),128,94.12,3.22 (2.94-3.50),6.42,4.90
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,60,17.0,2.28 (1.96-2.60),293,83.0,4.33 (4.14-4.51),20.37,5.54
GABA neurons expressing GLU receptors 22,703.0,0.081,4.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,1316.0,0.085,15.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,209.0,0.121,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.104,30.0,297,4,1.35,4.70 (4.25-5.16),293,98.65,3.66 (3.45-3.87),5.83,5.51
oligodendrocytes 20,295.0,0.305,84.0,28,9,32.14,2.72 (2.18-3.27),19,67.86,1.95 (1.36-2.55),1.93,3.61
GABA like neurons 14,3052.0,0.132,43.0,125,3,2.4,4.23 (3.75-4.71),122,97.6,3.33 (2.99-3.66),2.09,8.77
astrocytes 8,727.0,0.11,51.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,708.0,0.056,20.0,32,8,25.0,1.17 (0.33-2.00),24,75.0,4.08 (3.24-4.92),3.73,2.22
oligodendrocytes 10,2107.0,0.154,53.0,358,70,19.55,2.21 (1.92-2.50),288,80.45,4.40 (4.21-4.58),23.12,6.16
connective tissue cells 21,102.0,0.375,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.191,77.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,87.0,0.134,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.303,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787.0,0.176,90.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,479.0,0.146,44.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,958.0,0.113,53.0,290,17,5.86,2.52 (1.85-3.18),273,94.14,3.90 (3.66-4.13),4.04,5.06
oligodendrocytes 3,1003.0,0.107,62.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921.0,0.126,31.0,200,6,3.0,2.77 (2.01-3.52),194,97.0,3.65 (3.38-3.92),2.68,3.49
