tipo_celular,module_size,MFF_MM,MFF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.094,10.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45),2.39,4.93
T cells 18,727,0.14,46.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.148,74.0,166,4,2.41,1.27 (-0.38-2.93),162,97.59,3.45 (3.21-3.70),5.81,4.52
oligodendrocyte progenitor cells 7,628,0.156,44.0,164,7,4.27,3.70 (2.45-4.94),157,95.73,4.11 (3.77-4.45),3.93,7.69
GABA neurons expressing GLU receptors 22,567,0.179,45.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,380,0.199,71.0,39,4,10.26,2.99 (1.75-4.22),35,89.74,2.96 (2.36-3.57),2.42,2.59
da like neurons 11,59,0.179,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,88,0.091,9.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,450,0.097,12.0,74,2,2.7,3.33 (0.22-6.44),72,97.3,5.55 (5.00-6.11),2.94,3.66
oligodendrocytes 20,358,0.134,41.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.189,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.078,29.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.171,70.0,32,13,40.62,1.82 (1.09-2.54),19,59.38,4.48 (3.46-5.51),3.35,2.08
oligodendrocytes 10,1277,0.048,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,250,0.248,30.0,117,6,5.13,2.32 (1.63-3.02),111,94.87,5.60 (5.23-5.98),3.24,3.77
astrocytes 15,377,0.15,48.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,82,0.246,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.076,17.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,95,0.24,10.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,787,0.174,88.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.125,31.0,127,5,3.94,3.49 (3.00-3.98),122,96.06,3.02 (2.58-3.46),3.77,6.38
microglia 1,813,0.153,80.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54),3.89,8.01
oligodendrocytes 3,1003,0.109,63.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,528,0.12,8.0,175,12,6.86,3.66 (2.67-4.65),163,93.14,4.46 (4.09-4.83),4.14,4.66
