tipo_celular,module_size,MGA_MM,MGA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.151,48.0,71,7,9.86,1.75 (1.08-2.41),64,90.14,2.74 (2.29-3.19),2.98,3.64
T cells 18,727.0,0.126,36.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.117,29.0,166,28,16.87,1.82 (1.52-2.12),138,83.13,3.79 (3.54-4.05),7.05,4.04
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,48,13.6,1.72 (1.48-1.97),305,86.4,4.33 (4.16-4.50),24.93,5.41
GABA neurons expressing GLU receptors 22,1069.0,0.132,25.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,1247.0,0.154,65.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.219,65.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.132,25.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,275.0,0.2,51.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.185,71.0,74,16,21.62,2.32 (2.04-2.60),58,78.38,3.13 (2.66-3.60),3.18,12.52
astrocytes 8,771.0,0.061,19.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,41,14.86,1.83 (1.62-2.04),235,85.14,3.94 (3.72-4.17),10.97,4.09
oligodendrocytes 10,2107.0,0.177,61.0,358,54,15.08,1.71 (1.48-1.93),304,84.92,4.39 (4.22-4.56),28.05,6.17
connective tissue cells 21,57.0,0.248,33.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,458.0,0.074,37.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,90.0,0.161,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.225,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.143,34.0,96,5,5.21,1.81 (1.61-2.01),91,94.79,3.39 (3.05-3.73),2.36,4.43
oligodendrocytes 0,1186.0,0.142,45.0,300,3,1.0,2.47 (1.87-3.06),297,99.0,3.81 (3.60-4.02),5.41,4.14
microglia 1,958.0,0.114,55.0,290,5,1.72,1.17 (0.84-1.50),285,98.28,3.87 (3.64-4.10),5.92,4.98
oligodendrocytes 3,357.0,0.124,70.0,127,4,3.15,2.65 (2.03-3.27),123,96.85,3.13 (2.79-3.47),1.74,4.32
oligodendrocytes 2,804.0,0.126,19.0,84,4,4.76,0.91 (0.25-1.56),80,95.24,2.80 (2.47-3.14),2.84,3.42
