tipo_celular,module_size,MOB3B_MM,MOB3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.226,67.0,102,24,23.53,2.23 (1.76-2.70),78,76.47,3.92 (3.50-4.33),3.94,2.75
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.158,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.273,77.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,823.0,0.244,85.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,637.0,0.183,59.0,91,9,9.89,0.97 (0.25-1.70),82,90.11,5.09 (4.64-5.54),3.27,3.04
da like neurons 11,94.0,0.429,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.203,90.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676.0,0.347,61.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052.0,0.198,91.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,771.0,0.182,62.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.556,98.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,236.0,0.467,43.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65),2.52,3.90
connective tissue cells 21,102.0,0.215,17.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57),1.35,1.43
astrocytes 15,1768.0,0.124,81.0,105,9,8.57,1.29 (0.73-1.85),96,91.43,3.41 (3.07-3.75),6.76,3.72
oligodendrocytes 16,287.0,0.4,77.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77),2.42,3.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.277,45.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.159,38.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,261.0,0.152,29.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32),2.22,2.28
microglia 1,127.0,0.149,37.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,127.0,0.205,27.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53),2.18,6.19
oligodendrocytes 2,347.0,0.117,6.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
