tipo_celular,module_size,MORF4L1_MM,MORF4L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.176,23.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,477,0.095,8.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,228,0.154,39.0,266,7,2.63,0.86 (0.35-1.37),259,97.37,4.23 (4.03-4.43),3.75,5.01
oligodendrocyte progenitor cells 7,628,0.174,56.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848,0.432,94.0,262,7,2.67,1.45 (0.57-2.33),255,97.33,4.25 (4.01-4.49),4.18,4.10
GLU like neurons 17,1316,0.151,73.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,1220,0.358,89.0,410,9,2.2,3.08 (1.98-4.18),401,97.8,4.28 (4.10-4.47),6.63,7.54
GABA neurons expressing GABA receptors 13,238,0.23,76.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.142,55.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938,0.058,16.0,169,5,2.96,2.26 (0.34-4.18),164,97.04,3.53 (3.31-3.74),2.95,5.44
GABA like neurons 14,2402,0.447,84.0,455,22,4.84,1.48 (1.07-1.89),433,95.16,4.55 (4.37-4.72),19.80,8.28
astrocytes 8,520,0.168,65.0,288,4,1.39,1.42 (0.49-2.35),284,98.61,4.22 (4.03-4.42),4.16,4.69
oligodendrocyte progenitor cells 12,1049,0.181,81.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806,0.269,74.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,101,0.308,50.0,116,1,0.86,1.95 (NA-NA),115,99.14,4.64 (4.23-5.06),2.57,3.22
astrocytes 15,1401,0.087,52.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,90,0.147,8.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,553,0.166,72.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,46,0.229,34.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38),NA,5.27
astrocytes 4,157,0.154,33.0,178,4,2.25,0.39 (0.29-0.50),174,97.75,4.26 (4.01-4.52),3.33,4.53
oligodendrocytes 0,613,0.154,59.0,127,20,15.75,2.17 (1.86-2.49),107,84.25,3.31 (2.80-3.82),3.61,6.78
microglia 1,214,0.124,21.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.164,70.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,528,0.258,75.0,175,6,3.43,3.59 (2.55-4.63),169,96.57,4.42 (4.06-4.78),1.85,4.72
