tipo_celular,module_size,MZF1_MM,MZF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.257,67.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.117,52.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,53,15.01,2.12 (1.84-2.41),300,84.99,4.32 (4.14-4.50),20.72,5.83
GABA neurons expressing GLU receptors 22,599.0,0.187,38.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247.0,0.035,1.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.09,18.0,133,52,39.1,2.33 (2.01-2.65),81,60.9,4.04 (3.62-4.46),5.45,3.34
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.052,24.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,2090.0,0.132,34.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.078,46.0,66,17,25.76,2.00 (1.38-2.61),49,74.24,3.75 (3.30-4.20),3.82,2.65
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,43,15.58,2.05 (1.81-2.28),233,84.42,3.91 (3.68-4.15),9.33,4.33
oligodendrocytes 10,1277.0,0.041,7.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,103.0,0.397,95.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,418.0,0.054,29.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,75.0,0.321,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.323,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.153,65.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56),11.15,3.76
oligodendrocytes 0,2078.0,0.095,15.0,238,15,6.3,2.51 (2.08-2.95),223,93.7,3.73 (3.50-3.96),5.69,4.98
microglia 1,1615.0,0.073,5.0,161,53,32.92,2.12 (1.83-2.40),108,67.08,4.05 (3.74-4.35),8.95,3.71
oligodendrocytes 3,1003.0,0.026,0.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.152,72.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
