tipo_celular,module_size,OSBP_MM,OSBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.213,88.0,71,3,4.23,2.21 (0.11-4.31),68,95.77,2.64 (2.22-3.07),1.96,3.65
T cells 18,477.0,0.147,41.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.132,77.0,136,9,6.62,3.39 (2.48-4.30),127,93.38,3.19 (2.91-3.48),4.59,5.02
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,39,11.05,2.39 (1.90-2.89),314,88.95,4.14 (3.96-4.32),25.95,5.84
GABA neurons expressing GLU receptors 22,714.0,0.175,47.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,1316.0,0.107,35.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,120.0,0.045,1.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.07,7.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),1.91,5.53
oligodendrocytes 20,403.0,0.04,9.0,18,10,55.56,1.14 (0.56-1.72),8,44.44,2.80 (1.73-3.86),4.65,2.72
GABA like neurons 14,2402.0,0.136,20.0,455,34,7.47,2.36 (1.88-2.83),421,92.53,4.56 (4.38-4.75),19.02,8.01
astrocytes 8,603.0,0.055,30.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23),6.91,6.00
oligodendrocyte progenitor cells 12,3303.0,0.095,69.0,276,28,10.14,2.55 (2.07-3.03),248,89.86,3.69 (3.46-3.93),13.71,4.14
oligodendrocytes 10,735.0,0.072,31.0,277,3,1.08,3.65 (3.42-3.88),274,98.92,3.90 (3.65-4.14),3.18,9.01
connective tissue cells 21,111.0,0.342,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.107,69.0,105,20,19.05,2.15 (1.65-2.66),85,80.95,3.49 (3.11-3.87),6.38,3.41
oligodendrocytes 16,105.0,0.219,48.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,448.0,0.056,3.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,161.0,0.31,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.137,35.0,104,23,22.12,2.46 (1.87-3.04),81,77.88,2.99 (2.67-3.31),11.03,3.80
oligodendrocytes 0,2078.0,0.119,59.0,238,4,1.68,2.06 (0.74-3.39),234,98.32,3.67 (3.45-3.89),9.21,4.95
microglia 1,958.0,0.094,23.0,290,10,3.45,2.70 (2.10-3.29),280,96.55,3.86 (3.62-4.09),5.01,5.00
oligodendrocytes 3,854.0,0.057,12.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17),3.11,4.76
oligodendrocytes 2,1630.0,0.137,40.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
