tipo_celular,module_size,PHACTR4_MM,PHACTR4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.099,11.0,73,3,4.11,4.06 (3.17-4.96),70,95.89,3.55 (3.19-3.90),1.62,3.29
T cells 18,610.0,0.156,54.0,98,3,3.06,1.08 (-0.63-2.78),95,96.94,3.17 (2.85-3.48),4.20,4.03
astrocytes 5,1141.0,0.087,5.0,166,7,4.22,2.43 (1.28-3.57),159,95.78,3.44 (3.19-3.70),2.36,4.65
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,10,2.83,1.85 (1.23-2.46),343,97.17,3.96 (3.77-4.15),8.39,8.05
GABA neurons expressing GLU receptors 22,203.0,0.2,26.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.135,51.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200.0,0.169,43.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.136,57.0,297,2,0.67,3.05 (2.81-3.30),295,99.33,3.68 (3.47-3.88),7.82,5.50
oligodendrocytes 20,298.0,0.211,73.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.116,23.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.079,47.0,66,12,18.18,2.86 (2.02-3.70),54,81.82,3.32 (2.84-3.81),2.59,3.03
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,6,2.17,1.10 (0.52-1.69),270,97.83,3.59 (3.37-3.81),5.22,5.11
oligodendrocytes 10,2107.0,0.228,77.0,358,16,4.47,2.03 (1.42-2.65),342,95.53,3.97 (3.78-4.16),6.99,9.59
connective tissue cells 21,78.0,0.189,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.15,91.0,105,7,6.67,1.64 (0.93-2.34),98,93.33,3.33 (2.99-3.68),3.89,3.98
oligodendrocytes 16,69.0,0.161,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.223,26.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01),1.69,3.36
astrocytes 4,721.0,0.134,20.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186.0,0.144,49.0,300,14,4.67,3.80 (3.37-4.24),286,95.33,3.79 (3.58-4.01),4.08,4.16
microglia 1,1615.0,0.104,42.0,161,8,4.97,2.38 (1.18-3.58),153,95.03,3.32 (3.05-3.60),3.50,5.53
oligodendrocytes 3,1003.0,0.117,69.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,407.0,0.163,60.0,122,7,5.74,1.50 (0.83-2.16),115,94.26,3.48 (3.08-3.87),2.30,2.72
