tipo_celular,module_size,PIK3C2A_MM,PIK3C2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.096,8.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,610.0,0.179,70.0,98,33,33.67,2.53 (1.93-3.13),65,66.33,3.47 (3.15-3.80),6.82,2.62
astrocytes 5,118.0,0.133,4.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17),1.48,2.18
oligodendrocyte progenitor cells 7,666.0,0.191,67.0,127,23,18.11,2.69 (2.13-3.26),104,81.89,4.16 (3.79-4.52),3.81,6.29
GABA neurons expressing GLU receptors 22,848.0,0.143,20.0,262,31,11.83,3.07 (2.51-3.63),231,88.17,4.34 (4.07-4.60),6.73,3.75
GLU like neurons 17,637.0,0.065,7.0,91,22,24.18,2.41 (1.62-3.21),69,75.82,5.44 (4.97-5.91),3.18,3.02
da like neurons 11,168.0,0.079,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.262,67.0,120,47,39.17,4.43 (3.95-4.92),73,60.83,4.74 (4.32-5.16),4.24,3.27
oligodendrocytes 20,250.0,0.237,69.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.177,80.0,125,5,4.0,4.93 (3.88-5.98),120,96.0,3.27 (2.94-3.60),3.88,8.81
astrocytes 8,279.0,0.076,2.0,78,25,32.05,3.85 (3.19-4.52),53,67.95,4.57 (4.05-5.09),3.09,2.53
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,47,17.03,3.16 (2.69-3.64),229,82.97,3.65 (3.41-3.89),10.20,4.07
oligodendrocytes 10,2107.0,0.141,48.0,358,49,13.69,2.55 (2.07-3.04),309,86.31,4.16 (3.97-4.35),23.77,7.21
connective tissue cells 21,152.0,0.264,55.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,268.0,0.244,83.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,158.0,0.13,4.0,30,2,6.67,4.56 (-0.57-9.70),28,93.33,2.15 (1.58-2.72),1.64,12.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.23,25.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,220.0,0.196,68.0,63,9,14.29,3.14 (2.41-3.87),54,85.71,5.59 (5.01-6.17),3.83,3.20
oligodendrocytes 0,1186.0,0.138,37.0,300,15,5.0,4.99 (3.91-6.06),285,95.0,3.73 (3.52-3.94),3.56,4.19
microglia 1,958.0,0.142,85.0,290,15,5.17,2.24 (1.75-2.72),275,94.83,3.92 (3.69-4.16),4.46,5.03
oligodendrocytes 3,1003.0,0.089,43.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.108,10.0,200,13,6.5,4.00 (2.81-5.19),187,93.5,3.59 (3.32-3.86),3.31,3.47
