tipo_celular,module_size,PIP4K2A_MM,PIP4K2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.215,62.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.254,71.0,68,13,19.12,2.75 (1.78-3.71),55,80.88,4.91 (4.33-5.49),2.97,3.39
astrocytes 5,165,0.434,89.0,51,2,3.92,5.72 (4.51-6.93),49,96.08,5.33 (4.63-6.03),2.05,2.99
oligodendrocyte progenitor cells 7,229,0.241,70.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,567,0.643,99.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,637,0.711,100.0,91,18,19.78,1.90 (1.24-2.55),73,80.22,5.51 (5.08-5.93),3.80,2.88
da like neurons 11,408,0.723,99.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,288,0.52,98.0,93,7,7.53,1.85 (1.10-2.60),86,92.47,5.51 (5.04-5.97),3.31,4.00
endothelial cells 9,450,0.595,93.0,74,2,2.7,3.47 (0.09-6.84),72,97.3,5.55 (5.00-6.10),3.78,3.63
oligodendrocytes 20,676,0.138,37.0,110,11,10.0,2.47 (1.55-3.38),99,90.0,5.41 (4.98-5.83),3.66,3.51
GABA like neurons 14,3052,0.131,42.0,125,5,4.0,5.28 (4.32-6.24),120,96.0,3.27 (2.95-3.60),1.84,8.90
astrocytes 8,771,0.752,98.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24),1.47,3.22
oligodendrocyte progenitor cells 12,708,0.47,96.0,25,8,32.0,4.44 (2.56-6.32),17,68.0,2.08 (1.17-2.99),2.04,2.77
oligodendrocytes 10,204,0.343,29.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250,0.535,80.0,117,7,5.98,2.63 (1.65-3.62),110,94.02,5.62 (5.24-6.00),4.14,3.71
astrocytes 15,458,0.306,93.0,36,3,8.33,4.73 (NA-NA),33,91.67,3.72 (2.59-4.86),2.17,2.61
oligodendrocytes 16,113,0.176,48.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,398,0.547,99.0,138,28,20.29,2.80 (2.28-3.31),110,79.71,5.46 (5.09-5.83),2.60,2.77
astrocytes microglia 23,54,0.289,36.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102,0.304,78.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44),2.94,3.17
oligodendrocytes 0,1186,0.16,76.0,300,27,9.0,4.63 (3.97-5.28),273,91.0,3.70 (3.48-3.91),3.98,4.17
microglia 1,127,0.18,50.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,681,0.253,99.0,87,20,22.99,2.13 (1.62-2.64),67,77.01,2.73 (2.42-3.05),6.86,3.46
oligodendrocytes 2,348,0.216,58.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59),4.38,4.39
