tipo_celular,module_size,POMT1_MM,POMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.064,1.0,136,8,5.88,2.94 (2.14-3.74),128,94.12,3.23 (2.94-3.51),5.39,4.96
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,22,6.23,1.46 (1.03-1.89),331,93.77,4.10 (3.93-4.28),30.69,6.56
GABA neurons expressing GLU receptors 22,1069.0,0.221,85.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.124,45.0,133,10,7.52,0.76 (0.50-1.01),123,92.48,3.50 (3.19-3.80),6.06,4.01
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.127,30.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,603.0,0.065,41.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26),5.38,6.08
oligodendrocyte progenitor cells 12,708.0,0.066,27.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75),4.13,2.24
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.067,30.0,105,18,17.14,2.07 (1.53-2.62),87,82.86,3.47 (3.10-3.84),4.58,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.445,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.129,23.0,104,19,18.27,2.15 (1.57-2.73),85,81.73,3.04 (2.73-3.35),9.03,4.59
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
