tipo_celular,module_size,PPP1R2_MM,PPP1R2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.082,3.0,140,1,0.71,3.19 (NA-NA),139,99.29,4.52 (4.10-4.95),3.04,3.58
T cells 18,477.0,0.174,57.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,4,1.13,0.88 (0.14-1.62),349,98.87,3.93 (3.75-4.12),21.72,7.91
GABA neurons expressing GLU receptors 22,599.0,0.292,83.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.183,89.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.074,5.0,410,4,0.98,3.17 (1.36-4.98),406,99.02,4.26 (4.07-4.45),10.05,7.49
GABA neurons expressing GABA receptors 13,70.0,0.2,73.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,559.0,0.098,23.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.118,14.0,455,3,0.66,1.52 (-0.13-3.17),452,99.34,4.37 (4.18-4.55),20.71,8.76
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.036,6.0,235,2,0.85,3.83 (2.58-5.09),233,99.15,3.82 (3.59-4.06),4.77,7.64
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,100.0,0.301,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.086,21.0,235,2,0.85,2.01 (-0.32-4.33),233,99.15,4.00 (3.75-4.25),8.38,4.38
astrocytes microglia 23,61.0,0.288,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.115,57.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
