tipo_celular,module_size,PPP2CB_MM,PPP2CB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.216,53.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,477,0.079,3.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.16,56.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.152,76.0,353,42,11.9,2.09 (1.80-2.38),311,88.1,4.22 (4.03-4.40),16.73,6.89
GABA neurons expressing GLU receptors 22,703,0.179,45.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1316,0.124,51.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,1220,0.142,35.0,410,7,1.71,2.00 (0.98-3.01),403,98.29,4.29 (4.11-4.48),9.74,7.48
GABA neurons expressing GABA receptors 13,93,0.175,62.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,385,0.132,71.0,275,34,12.36,2.07 (1.71-2.43),241,87.64,4.36 (4.09-4.63),9.80,5.33
oligodendrocytes 20,348,0.13,50.0,33,5,15.15,3.15 (2.85-3.45),28,84.85,2.65 (2.07-3.23),3.07,3.44
GABA like neurons 14,3052,0.173,78.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577,0.127,72.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83),2.58,4.62
oligodendrocyte progenitor cells 12,708,0.094,42.0,32,4,12.5,2.26 (0.89-3.64),28,87.5,3.41 (2.50-4.32),3.36,2.49
oligodendrocytes 10,806,0.182,58.0,261,2,0.77,NA,259,99.23,4.36 (4.12-4.61),6.62,6.06
connective tissue cells 21,139,0.257,22.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,377,0.075,9.0,14,1,7.14,1.71 (NA-NA),13,92.86,2.18 (0.80-3.57),2.13,2.48
oligodendrocytes 16,92,0.171,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.128,52.0,124,4,3.23,3.32 (3.00-3.64),120,96.77,4.21 (3.81-4.62),2.42,3.05
astrocytes microglia 23,70,0.206,14.0,76,1,1.32,NA,75,98.68,4.20 (3.69-4.72),2.02,4.57
astrocytes 4,514,0.175,45.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95),3.16,4.72
oligodendrocytes 0,613,0.133,41.0,127,13,10.24,1.90 (1.66-2.13),114,89.76,3.28 (2.80-3.75),2.72,6.68
microglia 1,958,0.12,63.0,290,14,4.83,3.08 (2.26-3.90),276,95.17,3.86 (3.62-4.10),5.59,4.97
oligodendrocytes 3,457,0.042,4.0,345,6,1.74,4.16 (3.35-4.96),339,98.26,4.28 (4.06-4.49),2.47,5.75
oligodendrocytes 2,528,0.155,21.0,175,1,0.57,NA,174,99.43,4.38 (4.03-4.73),1.44,4.64
