tipo_celular,module_size,PRKRA_MM,PRKRA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.161,56.0,71,9,12.68,2.19 (1.29-3.10),62,87.32,2.70 (2.24-3.15),2.97,3.66
T cells 18,518.0,0.099,13.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35),4.21,4.77
astrocytes 5,1656.0,0.12,57.0,136,9,6.62,2.06 (1.43-2.69),127,93.38,3.30 (3.02-3.58),6.63,4.87
oligodendrocyte progenitor cells 7,4285.0,0.175,95.0,353,57,16.15,2.07 (1.77-2.37),296,83.85,4.34 (4.17-4.52),22.12,5.36
GABA neurons expressing GLU receptors 22,823.0,0.137,24.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.103,31.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42),2.08,3.07
da like neurons 11,132.0,0.085,11.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.08,12.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,279.0,0.21,50.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.151,60.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.091,55.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,708.0,0.049,9.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,483.0,0.054,12.0,129,4,3.1,4.09 (3.73-4.44),125,96.9,3.40 (2.99-3.81),10.56,19.47
connective tissue cells 21,78.0,0.346,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.04,9.0,96,3,3.12,2.80 (1.77-3.84),93,96.88,3.64 (3.18-4.11),1.47,3.87
oligodendrocytes 16,121.0,0.201,41.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,448.0,0.071,12.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,94.0,0.296,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.153,55.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078.0,0.112,44.0,238,7,2.94,2.37 (1.44-3.30),231,97.06,3.68 (3.46-3.91),10.37,4.86
microglia 1,958.0,0.103,38.0,290,21,7.24,3.16 (2.37-3.95),269,92.76,3.87 (3.64-4.11),5.54,4.96
oligodendrocytes 3,854.0,0.078,35.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.128,24.0,154,1,0.65,4.17 (NA-NA),153,99.35,3.24 (2.97-3.50),4.88,3.58
