tipo_celular,module_size,PRNP_MM,PRNP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.254,75.0,140,20,14.29,5.62 (4.39-6.86),120,85.71,4.29 (3.86-4.72),2.74,3.71
T cells 18,282,0.246,78.0,241,6,2.49,3.95 (2.53-5.38),235,97.51,4.06 (3.80-4.31),1.74,4.41
astrocytes 5,228,0.199,62.0,266,70,26.32,3.50 (3.12-3.88),196,73.68,4.38 (4.14-4.62),5.73,4.71
oligodendrocyte progenitor cells 7,296,0.275,84.0,251,6,2.39,3.60 (3.11-4.09),245,97.61,4.08 (3.83-4.32),3.23,6.23
GABA neurons expressing GLU receptors 22,848,0.326,81.0,262,47,17.94,4.12 (3.57-4.67),215,82.06,4.17 (3.89-4.45),6.47,3.59
GLU like neurons 17,1316,0.163,80.0,101,3,2.97,2.56 (1.70-3.42),98,97.03,3.06 (2.71-3.42),2.30,3.08
da like neurons 11,1220,0.387,92.0,410,53,12.93,4.16 (3.70-4.63),357,87.07,4.26 (4.06-4.47),9.76,7.18
GABA neurons expressing GABA receptors 13,357,0.278,86.0,237,27,11.39,4.83 (4.11-5.55),210,88.61,4.34 (4.09-4.58),3.36,4.29
endothelial cells 9,338,0.258,81.0,191,12,6.28,3.93 (3.50-4.37),179,93.72,3.88 (3.64-4.12),2.71,9.59
oligodendrocytes 20,358,0.151,50.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.384,78.0,455,50,10.99,3.39 (2.77-4.01),405,89.01,4.49 (4.30-4.68),17.62,7.75
astrocytes 8,520,0.288,85.0,288,45,15.62,3.67 (3.22-4.12),243,84.38,4.27 (4.05-4.49),8.24,4.03
oligodendrocyte progenitor cells 12,3303,0.106,80.0,276,50,18.12,2.28 (2.01-2.54),226,81.88,3.92 (3.67-4.16),7.22,4.64
oligodendrocytes 10,806,0.404,90.0,261,42,16.09,4.40 (3.74-5.06),219,83.91,4.36 (4.10-4.62),5.77,6.12
connective tissue cells 21,101,0.295,41.0,116,37,31.9,4.84 (3.84-5.83),79,68.1,4.51 (4.10-4.91),3.62,3.03
astrocytes 15,1768,0.047,11.0,105,25,23.81,2.12 (1.69-2.55),80,76.19,3.59 (3.20-3.98),4.23,3.90
oligodendrocytes 16,313,0.245,60.0,291,51,17.53,4.12 (3.65-4.59),240,82.47,4.38 (4.13-4.64),4.34,3.70
da neurons 6,300,0.327,91.0,159,8,5.03,4.67 (3.64-5.71),151,94.97,4.34 (4.02-4.67),2.49,3.79
astrocytes microglia 23,58,0.395,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.169,40.0,178,39,21.91,3.04 (2.40-3.68),139,78.09,4.45 (4.18-4.72),5.42,4.24
oligodendrocytes 0,613,0.215,93.0,127,21,16.54,2.72 (2.25-3.18),106,83.46,3.17 (2.63-3.70),3.11,6.91
microglia 1,214,0.256,74.0,227,28,12.33,4.47 (3.75-5.19),199,87.67,4.03 (3.78-4.28),7.72,5.89
oligodendrocytes 3,457,0.178,74.0,345,65,18.84,4.10 (3.70-4.50),280,81.16,4.32 (4.08-4.56),7.60,5.25
oligodendrocytes 2,528,0.384,93.0,175,30,17.14,4.21 (3.53-4.89),145,82.86,4.42 (4.02-4.83),7.24,4.08
