tipo_celular,module_size,PRUNE2_MM,PRUNE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.401,85.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.285,81.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.487,96.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.354,88.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30),4.14,3.00
da like neurons 11,408.0,0.485,90.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,288.0,0.322,87.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,450.0,0.753,100.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.11,35.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300.0,0.206,51.0,306,3,0.98,1.89 (0.01-3.77),303,99.02,5.14 (4.88-5.40),3.36,6.74
astrocytes 8,771.0,0.784,99.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.393,93.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204.0,0.573,91.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250.0,0.789,97.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,458.0,0.529,98.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,104.0,0.134,2.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,398.0,0.308,88.0,138,3,2.17,1.44 (-0.60-3.49),135,97.83,4.91 (4.55-5.27),3.84,2.71
astrocytes microglia 23,54.0,0.569,89.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102.0,0.494,92.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,1186.0,0.13,28.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.118,70.0,87,3,3.45,2.01 (0.32-3.69),84,96.55,2.61 (2.33-2.88),4.90,4.22
oligodendrocytes 2,348.0,0.24,66.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
