tipo_celular,module_size,PUM3_MM,PUM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.318,96.0,97,2,2.06,5.22 (4.99-5.45),95,97.94,3.00 (2.60-3.39),4.43,4.91
T cells 18,477.0,0.089,6.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,322.0,0.138,32.0,58,2,3.45,3.03 (-1.20-7.26),56,96.55,4.22 (3.80-4.64),1.41,2.35
oligodendrocyte progenitor cells 7,666.0,0.172,55.0,127,7,5.51,3.17 (1.54-4.79),120,94.49,3.89 (3.55-4.23),4.25,5.93
GABA neurons expressing GLU receptors 22,459.0,0.104,23.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,685.0,0.095,25.0,135,25,18.52,2.02 (1.51-2.53),110,81.48,3.52 (3.18-3.85),4.65,3.54
da like neurons 11,94.0,0.305,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.132,54.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,221.0,0.293,80.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.156,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.082,48.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,32,11.59,1.97 (1.61-2.32),244,88.41,3.81 (3.59-4.04),11.53,4.27
oligodendrocytes 10,2107.0,0.217,74.0,358,41,11.45,1.76 (1.38-2.15),317,88.55,4.23 (4.06-4.41),29.54,6.88
connective tissue cells 21,96.0,0.203,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.191,99.0,105,21,20.0,1.84 (1.33-2.34),84,80.0,3.57 (3.21-3.93),6.84,3.26
oligodendrocytes 16,75.0,0.175,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.238,16.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,514.0,0.12,10.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,1186.0,0.136,34.0,300,1,0.33,2.04 (NA-NA),299,99.67,3.80 (3.59-4.01),5.77,4.15
microglia 1,813.0,0.236,96.0,79,4,5.06,3.28 (2.33-4.24),75,94.94,3.09 (2.67-3.51),4.66,8.07
oligodendrocytes 3,854.0,0.138,88.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,804.0,0.17,69.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
