tipo_celular,module_size,RAB2A_MM,RAB2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.218,56.0,21,10,47.62,1.56 (0.61-2.50),11,52.38,3.04 (2.49-3.60),2.27,1.76
T cells 18,727,0.074,4.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.108,21.0,166,6,3.61,1.64 (0.22-3.06),160,96.39,3.47 (3.22-3.72),7.12,4.45
oligodendrocyte progenitor cells 7,448,0.167,71.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.206,69.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247,0.094,21.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,197,0.298,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.114,17.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653,0.085,16.0,297,2,0.67,3.69 (1.41-5.96),295,99.33,3.67 (3.47-3.88),6.34,5.51
oligodendrocytes 20,938,0.153,63.0,169,18,10.65,2.70 (1.94-3.46),151,89.35,3.56 (3.34-3.79),7.45,5.11
GABA like neurons 14,2402,0.247,55.0,455,44,9.67,2.73 (2.19-3.27),411,90.33,4.51 (4.32-4.70),17.48,7.91
astrocytes 8,727,0.068,24.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,103,0.472,65.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,735,0.073,32.0,277,2,0.72,5.02 (NA-NA),275,99.28,3.89 (3.64-4.13),2.85,8.99
connective tissue cells 21,126,0.195,6.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,1401,0.091,56.0,96,2,2.08,2.11 (1.89-2.34),94,97.92,3.65 (3.19-4.11),4.01,3.79
oligodendrocytes 16,313,0.134,13.0,291,36,12.37,2.87 (2.55-3.19),255,87.63,4.56 (4.32-4.79),5.60,3.56
da neurons 6,729,0.131,38.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,253,0.333,92.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.124,13.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.101,5.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,958,0.105,42.0,290,6,2.07,2.52 (1.56-3.48),284,97.93,3.85 (3.62-4.08),4.82,5.00
oligodendrocytes 3,1003,0.067,17.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63),3.41,4.24
oligodendrocytes 2,528,0.079,1.0,175,24,13.71,3.40 (2.95-3.85),151,86.29,4.54 (4.15-4.93),9.90,3.78
