tipo_celular,module_size,RALA_MM,RALA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.158,20.0,21,6,28.57,0.64 (0.20-1.08),15,71.43,3.01 (2.47-3.55),2.56,1.78
T cells 18,282,0.118,10.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656,0.105,33.0,136,3,2.21,2.90 (1.02-4.77),133,97.79,3.22 (2.94-3.49),4.20,5.01
oligodendrocyte progenitor cells 7,4285,0.145,66.0,353,34,9.63,2.23 (1.78-2.67),319,90.37,4.12 (3.93-4.30),18.32,6.97
GABA neurons expressing GLU receptors 22,714,0.165,40.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,795,0.084,20.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,140,0.242,57.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,77,0.105,7.0,8,4,50.0,2.72 (1.45-4.00),4,50.0,4.02 (3.04-5.00),1.90,1.63
endothelial cells 9,385,0.079,21.0,275,31,11.27,2.12 (1.48-2.77),244,88.73,4.17 (3.90-4.43),5.87,5.88
oligodendrocytes 20,253,0.166,56.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052,0.119,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283,0.138,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.067,35.0,276,27,9.78,2.64 (2.17-3.11),249,90.22,3.66 (3.43-3.90),5.59,5.06
oligodendrocytes 10,735,0.078,36.0,277,2,0.72,4.26 (NA-NA),275,99.28,3.89 (3.65-4.13),2.64,8.99
connective tissue cells 21,116,0.282,52.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,418,0.051,27.0,54,5,9.26,3.35 (2.21-4.48),49,90.74,3.72 (3.25-4.19),2.59,3.06
oligodendrocytes 16,65,0.419,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729,0.056,2.0,182,4,2.2,2.87 (2.83-2.90),178,97.8,3.65 (3.39-3.90),6.99,8.56
astrocytes microglia 23,131,0.309,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.1,3.0,104,9,8.65,1.95 (1.03-2.87),95,91.35,2.96 (2.67-3.25),9.27,5.03
oligodendrocytes 0,613,0.092,5.0,127,5,3.94,3.49 (3.00-3.98),122,96.06,3.02 (2.58-3.46),3.77,6.38
microglia 1,346,0.084,6.0,43,3,6.98,4.64 (3.22-6.06),40,93.02,3.69 (3.16-4.22),2.82,4.61
oligodendrocytes 3,743,0.072,37.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.34,7.37
oligodendrocytes 2,1630,0.128,24.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
