tipo_celular,module_size,RING1_MM,RING1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.094,19.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285.0,0.086,4.0,353,66,18.7,2.18 (1.88-2.47),287,81.3,4.36 (4.19-4.54),21.34,5.01
GABA neurons expressing GLU receptors 22,714.0,0.09,5.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96),2.40,4.20
GLU like neurons 17,1247.0,0.097,23.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.091,19.0,133,48,36.09,2.34 (1.99-2.69),85,63.91,3.91 (3.50-4.31),5.89,3.19
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.046,2.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,275.0,0.024,2.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.178,67.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57),3.56,11.84
astrocytes 8,603.0,0.091,59.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,103.0,0.031,4.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,483.0,0.056,14.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142.0,0.345,69.0,55,9,16.36,1.88 (0.87-2.88),46,83.64,4.15 (3.15-5.14),2.31,3.48
astrocytes 15,1401.0,0.032,5.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,91.0,0.46,100.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.338,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.141,44.0,104,29,27.88,1.82 (1.49-2.14),75,72.12,3.31 (2.99-3.64),10.89,3.27
oligodendrocytes 0,613.0,0.092,5.0,127,19,14.96,2.33 (1.92-2.74),108,85.04,3.27 (2.76-3.79),3.31,6.80
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.045,5.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
