tipo_celular,module_size,ROCK1_MM,ROCK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.121,19.0,73,15,20.55,4.04 (3.75-4.32),58,79.45,3.42 (2.99-3.85),2.61,3.38
T cells 18,506.0,0.056,2.0,225,40,17.78,3.15 (2.60-3.71),185,82.22,3.72 (3.45-4.00),5.24,8.48
astrocytes 5,1141.0,0.158,83.0,166,58,34.94,2.97 (2.61-3.34),108,65.06,3.70 (3.36-4.03),4.64,4.50
oligodendrocyte progenitor cells 7,4285.0,0.184,99.0,353,95,26.91,3.03 (2.69-3.37),258,73.09,4.33 (4.13-4.52),14.44,5.72
GABA neurons expressing GLU receptors 22,714.0,0.251,81.0,17,6,35.29,2.28 (2.11-2.46),11,64.71,2.32 (1.41-3.24),2.19,4.32
GLU like neurons 17,637.0,0.163,53.0,91,37,40.66,3.54 (2.77-4.30),54,59.34,5.63 (5.14-6.12),3.04,3.07
da like neurons 11,209.0,0.351,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.203,56.0,54,8,14.81,5.10 (4.52-5.68),46,85.19,4.77 (3.99-5.54),2.96,5.40
oligodendrocytes 20,279.0,0.124,16.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96),1.61,3.75
GABA like neurons 14,3052.0,0.229,98.0,125,2,1.6,4.29 (1.76-6.81),123,98.4,3.33 (3.01-3.66),3.45,8.70
astrocytes 8,140.0,0.188,70.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.118,89.0,276,73,26.45,3.04 (2.66-3.42),203,73.55,3.80 (3.55-4.06),7.62,4.21
oligodendrocytes 10,2107.0,0.363,96.0,358,104,29.05,2.99 (2.67-3.31),254,70.95,4.39 (4.19-4.60),16.46,6.61
connective tissue cells 21,101.0,0.235,31.0,1,1,100.0,8.28 (NA-NA),0,0.0,NA,1.40,NA
astrocytes 15,377.0,0.205,82.0,14,5,35.71,2.16 (0.13-4.18),9,64.29,2.11 (0.42-3.81),2.95,2.17
oligodendrocytes 16,112.0,0.222,82.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.249,46.0,47,10,21.28,2.58 (1.89-3.27),37,78.72,2.91 (2.53-3.28),1.86,3.41
astrocytes 4,752.0,0.169,74.0,96,31,32.29,3.63 (3.14-4.13),65,67.71,3.08 (2.65-3.51),2.47,5.20
oligodendrocytes 0,1186.0,0.173,88.0,300,36,12.0,4.10 (3.60-4.61),264,88.0,3.75 (3.52-3.97),4.94,4.05
microglia 1,315.0,0.095,12.0,144,38,26.39,4.49 (3.95-5.02),106,73.61,4.45 (4.08-4.82),3.19,4.57
oligodendrocytes 3,639.0,0.076,32.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88),2.36,2.06
oligodendrocytes 2,804.0,0.168,67.0,84,21,25.0,2.82 (2.25-3.39),63,75.0,2.63 (2.21-3.04),3.49,3.37
