tipo_celular,module_size,SAR1A_MM,SAR1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.208,50.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,727.0,0.19,82.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.149,35.0,127,12,9.45,2.85 (1.74-3.96),115,90.55,3.99 (3.65-4.33),4.18,6.01
GABA neurons expressing GLU receptors 22,703.0,0.068,2.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,685.0,0.107,34.0,135,20,14.81,2.90 (2.04-3.76),115,85.19,3.24 (2.91-3.56),2.72,3.93
da like neurons 11,1220.0,0.079,6.0,410,41,10.0,3.69 (3.15-4.23),369,90.0,4.32 (4.13-4.52),8.90,7.36
GABA neurons expressing GABA receptors 13,238.0,0.086,6.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559.0,0.082,14.0,155,6,3.87,5.48 (5.18-5.79),149,96.13,4.29 (3.92-4.67),2.43,4.41
oligodendrocytes 20,358.0,0.165,56.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77),1.78,3.90
GABA like neurons 14,2402.0,0.221,48.0,455,61,13.41,3.73 (3.23-4.24),394,86.59,4.46 (4.27-4.66),14.62,7.94
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,32,11.59,3.16 (2.68-3.64),244,88.41,3.61 (3.37-3.85),7.09,4.85
oligodendrocytes 10,735.0,0.059,19.0,277,9,3.25,6.13 (5.20-7.06),268,96.75,3.79 (3.55-4.03),2.51,9.16
connective tissue cells 21,111.0,0.345,69.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.392,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.079,13.0,95,4,4.21,4.43 (3.56-5.30),91,95.79,4.87 (4.41-5.33),2.45,3.40
astrocytes microglia 23,78.0,0.373,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.129,81.0,238,17,7.14,3.57 (2.89-4.24),221,92.86,3.64 (3.41-3.87),6.29,4.92
microglia 1,958.0,0.115,56.0,290,26,8.97,3.41 (2.70-4.12),264,91.03,3.87 (3.62-4.11),5.12,4.99
oligodendrocytes 3,743.0,0.064,22.0,76,3,3.95,4.38 (3.13-5.64),73,96.05,3.12 (2.72-3.53),3.06,7.46
oligodendrocytes 2,1630.0,0.156,79.0,154,3,1.95,5.02 (NA-NA),151,98.05,3.23 (2.97-3.50),2.00,3.62
