tipo_celular,module_size,SART3_MM,SART3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.082,4.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282.0,0.144,26.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,60,17.0,2.25 (1.92-2.58),293,83.0,4.33 (4.16-4.51),21.27,5.36
GABA neurons expressing GLU receptors 22,1069.0,0.156,43.0,37,5,13.51,2.82 (1.54-4.10),32,86.49,2.03 (1.55-2.51),2.81,3.15
GLU like neurons 17,1247.0,0.077,12.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,265.0,0.117,20.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.052,1.0,141,5,3.55,1.57 (0.75-2.38),136,96.45,3.02 (2.78-3.26),5.18,6.88
oligodendrocytes 20,938.0,0.12,47.0,169,10,5.92,2.43 (1.39-3.48),159,94.08,3.55 (3.33-3.77),5.15,5.38
GABA like neurons 14,3052.0,0.105,21.0,125,2,1.6,4.47 (4.47-4.47),123,98.4,3.33 (3.00-3.66),2.19,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.045,12.0,32,9,28.12,0.80 (0.32-1.28),23,71.88,4.06 (3.26-4.86),3.52,2.24
oligodendrocytes 10,2107.0,0.088,21.0,358,59,16.48,2.06 (1.75-2.38),299,83.52,4.35 (4.17-4.53),26.53,6.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,86.0,0.147,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.232,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.13,82.0,238,12,5.04,3.13 (2.27-4.00),226,94.96,3.67 (3.44-3.90),8.06,4.86
microglia 1,958.0,0.103,37.0,290,20,6.9,2.83 (2.34-3.32),270,93.1,3.91 (3.67-4.15),6.23,4.91
oligodendrocytes 3,1003.0,0.051,6.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,1630.0,0.16,85.0,154,3,1.95,4.37 (4.17-4.57),151,98.05,3.22 (2.95-3.49),5.05,3.56
