tipo_celular,module_size,SGIP1_MM,SGIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.212,53.0,98,5,5.1,2.73 (1.43-4.03),93,94.9,4.72 (4.31-5.13),2.47,2.66
oligodendrocyte progenitor cells 7,436.0,0.135,54.0,219,5,2.28,3.74 (2.84-4.63),214,97.72,5.25 (4.96-5.54),4.82,4.61
GABA neurons expressing GLU receptors 22,459.0,0.169,56.0,165,9,5.45,2.08 (1.33-2.84),156,94.55,5.29 (4.96-5.62),4.32,4.08
GLU like neurons 17,637.0,0.136,41.0,91,20,21.98,2.19 (1.22-3.16),71,78.02,5.27 (4.81-5.73),3.45,2.95
da like neurons 11,200.0,0.409,98.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,288.0,0.132,27.0,93,8,8.6,1.85 (1.10-2.60),85,91.4,5.51 (5.04-5.97),3.13,4.03
endothelial cells 9,586.0,0.625,97.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,676.0,0.745,99.0,110,11,10.0,2.58 (1.46-3.70),99,90.0,5.35 (4.92-5.77),3.82,3.49
GABA like neurons 14,1300.0,0.229,60.0,306,22,7.19,2.29 (1.75-2.84),284,92.81,5.39 (5.14-5.64),5.49,6.80
astrocytes 8,279.0,0.297,61.0,78,7,8.97,2.26 (1.93-2.60),71,91.03,4.55 (4.13-4.97),3.46,2.63
oligodendrocyte progenitor cells 12,411.0,0.261,66.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97),4.24,3.07
oligodendrocytes 10,236.0,0.592,77.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,250.0,0.148,6.0,117,10,8.55,3.14 (2.14-4.13),107,91.45,5.67 (5.29-6.05),3.70,3.74
astrocytes 15,418.0,0.573,96.0,54,2,3.7,1.95 (0.66-3.24),52,96.3,3.76 (3.31-4.20),3.23,3.00
oligodendrocytes 16,287.0,0.26,37.0,105,14,13.33,2.17 (1.49-2.86),91,86.67,5.67 (5.31-6.04),3.36,3.48
da neurons 6,228.0,0.11,63.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,141.0,0.232,40.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97),1.65,4.31
astrocytes 4,161.0,0.151,34.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,261.0,0.295,95.0,42,10,23.81,1.43 (1.05-1.81),32,76.19,4.80 (4.18-5.42),2.25,2.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.233,18.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,804.0,0.184,81.0,84,5,5.95,1.08 (0.51-1.66),79,94.05,2.82 (2.48-3.16),2.92,3.43
