tipo_celular,module_size,SKP1_MM,SKP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.216,65.0,140,2,1.43,2.00 (NA-NA),138,98.57,4.53 (4.11-4.96),2.37,3.59
T cells 18,282,0.092,4.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,228,0.193,59.0,266,24,9.02,2.57 (1.87-3.28),242,90.98,4.30 (4.10-4.51),4.82,4.99
oligodendrocyte progenitor cells 7,628,0.249,83.0,164,4,2.44,5.80 (5.23-6.36),160,97.56,4.06 (3.73-4.39),2.01,7.66
GABA neurons expressing GLU receptors 22,848,0.323,80.0,262,27,10.31,3.46 (2.85-4.07),235,89.69,4.27 (4.00-4.53),4.37,4.07
GLU like neurons 17,380,0.164,43.0,39,12,30.77,3.57 (3.15-4.00),27,69.23,2.66 (1.89-3.44),2.13,2.77
da like neurons 11,1220,0.385,91.0,410,26,6.34,3.48 (2.98-3.98),384,93.66,4.32 (4.12-4.52),9.22,7.40
GABA neurons expressing GABA receptors 13,417,0.135,31.0,213,33,15.49,2.40 (1.80-3.00),180,84.51,4.06 (3.82-4.30),6.06,10.35
endothelial cells 9,916,0.241,60.0,302,3,0.99,1.81 (-0.05-3.68),299,99.01,4.01 (3.79-4.24),4.73,10.71
oligodendrocytes 20,938,0.184,75.0,169,25,14.79,3.59 (3.00-4.18),144,85.21,3.46 (3.22-3.70),3.33,5.72
GABA like neurons 14,2402,0.615,96.0,455,47,10.33,2.87 (2.38-3.35),408,89.67,4.57 (4.38-4.76),16.31,7.97
astrocytes 8,520,0.234,77.0,288,22,7.64,3.18 (2.69-3.67),266,92.36,4.27 (4.06-4.48),5.36,4.63
oligodendrocyte progenitor cells 12,1049,0.088,47.0,235,3,1.28,5.80 (5.23-6.36),232,98.72,3.80 (3.57-4.03),3.75,7.66
oligodendrocytes 10,806,0.33,83.0,261,1,0.38,2.00 (NA-NA),260,99.62,4.38 (4.13-4.62),10.79,6.05
connective tissue cells 21,301,0.253,16.0,158,6,3.8,2.15 (0.80-3.51),152,96.2,4.36 (3.99-4.72),6.34,7.10
astrocytes 15,443,0.17,64.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,313,0.295,73.0,291,13,4.47,3.57 (2.66-4.48),278,95.53,4.37 (4.14-4.60),5.38,3.74
da neurons 6,409,0.214,82.0,235,10,4.26,2.87 (1.75-3.98),225,95.74,4.04 (3.79-4.30),5.76,4.36
astrocytes microglia 23,45,0.353,64.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,157,0.146,23.0,178,11,6.18,1.80 (0.89-2.71),167,93.82,4.34 (4.08-4.59),3.88,4.54
oligodendrocytes 0,546,0.173,52.0,252,33,13.1,2.77 (2.16-3.37),219,86.9,4.36 (4.10-4.61),7.64,8.30
microglia 1,214,0.214,61.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.201,82.0,345,31,8.99,4.01 (3.60-4.41),314,91.01,4.31 (4.08-4.54),5.95,5.67
oligodendrocytes 2,526,0.327,69.0,213,4,1.88,5.18 (3.94-6.43),209,98.12,3.96 (3.68-4.23),4.21,8.01
