tipo_celular,module_size,SNCA_MM,SNCA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.295,81.0,102,57,55.88,3.25 (2.86-3.64),45,44.12,3.86 (3.18-4.53),3.65,2.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,85,24.08,2.55 (2.25-2.84),268,75.92,4.49 (4.31-4.67),15.01,5.86
GABA neurons expressing GLU receptors 22,400.0,0.212,59.0,24,20,83.33,2.14 (1.52-2.75),4,16.67,2.26 (2.16-2.36),3.86,2.17
GLU like neurons 17,795.0,0.155,63.0,80,15,18.75,4.99 (3.55-6.44),65,81.25,5.79 (5.38-6.21),3.17,2.98
da like neurons 11,153.0,0.341,83.0,2,1,50.0,5.80 (NA-NA),1,50.0,NA,1.72,11.13
GABA neurons expressing GABA receptors 13,265.0,0.261,86.0,78,32,41.03,4.42 (3.81-5.03),46,58.97,4.31 (3.74-4.88),3.41,4.86
endothelial cells 9,338.0,0.36,92.0,191,31,16.23,4.10 (3.66-4.53),160,83.77,3.84 (3.59-4.10),3.63,10.23
oligodendrocytes 20,403.0,0.099,42.0,18,12,66.67,1.28 (0.68-1.88),6,33.33,3.07 (1.86-4.28),4.19,3.00
GABA like neurons 14,3052.0,0.13,41.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.154,99.0,276,72,26.09,2.69 (2.35-3.03),204,73.91,3.96 (3.71-4.21),7.06,4.42
oligodendrocytes 10,806.0,0.318,82.0,261,76,29.12,4.28 (3.87-4.70),185,70.88,4.40 (4.10-4.69),5.56,6.27
connective tissue cells 21,101.0,0.39,70.0,116,47,40.52,4.15 (3.59-4.70),69,59.48,5.00 (4.41-5.59),4.30,2.48
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.218,49.0,291,72,24.74,4.03 (3.68-4.38),219,75.26,4.45 (4.17-4.73),4.60,3.56
da neurons 6,228.0,0.271,95.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA),1.75,2.23
astrocytes microglia 23,58.0,0.25,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.111,14.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21),1.73,2.55
microglia 1,958.0,0.221,99.0,290,43,14.83,3.24 (2.80-3.68),247,85.17,3.94 (3.68-4.20),4.74,5.04
oligodendrocytes 3,457.0,0.098,39.0,345,93,26.96,4.06 (3.73-4.39),252,73.04,4.37 (4.10-4.63),5.81,5.65
oligodendrocytes 2,921.0,0.119,21.0,200,15,7.5,3.08 (2.40-3.76),185,92.5,3.68 (3.39-3.96),3.37,3.47
