tipo_celular,module_size,SSBP2_MM,SSBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.15,42.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388,0.183,66.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,222,0.13,18.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08),1.55,2.67
oligodendrocyte progenitor cells 7,200,0.243,76.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,459,0.06,5.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,685,0.19,75.0,135,23,17.04,1.76 (1.43-2.08),112,82.96,3.55 (3.22-3.89),3.82,3.74
da like neurons 11,137,0.403,86.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,288,0.195,60.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,303,0.303,78.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676,0.669,94.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300,0.045,2.0,306,4,1.31,0.73 (0.37-1.08),302,98.69,5.18 (4.92-5.43),6.68,6.71
astrocytes 8,727,0.164,79.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,218,0.285,56.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,130,0.241,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147,0.196,31.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418,0.196,59.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,153,0.407,66.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.232,77.0,138,8,5.8,1.07 (0.65-1.49),130,94.2,5.10 (4.76-5.44),2.77,2.73
astrocytes microglia 23,166,0.282,50.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,220,0.187,63.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82),2.35,3.32
oligodendrocytes 0,261,0.183,48.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32),2.22,2.28
microglia 1,315,0.177,53.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,116,0.326,92.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,347,0.194,50.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
