tipo_celular,module_size,STMP1_MM,STMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.133,25.0,73,21,28.77,4.21 (3.84-4.59),52,71.23,3.21 (2.76-3.67),2.28,3.60
T cells 18,610.0,0.074,4.0,98,17,17.35,1.35 (0.92-1.79),81,82.65,3.54 (3.24-3.85),7.92,3.22
astrocytes 5,1656.0,0.105,32.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53),8.60,4.91
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,32,9.07,1.62 (1.33-1.91),321,90.93,4.19 (4.02-4.37),24.23,6.45
GABA neurons expressing GLU receptors 22,487.0,0.177,32.0,73,4,5.48,1.85 (0.96-2.75),69,94.52,2.82 (2.41-3.22),1.91,7.64
GLU like neurons 17,380.0,0.071,3.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56),2.57,2.57
da like neurons 11,140.0,0.116,14.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.066,5.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,271.0,0.17,49.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.077,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.101,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.068,33.0,235,9,3.83,3.10 (2.13-4.08),226,96.17,3.86 (3.62-4.09),6.14,7.67
oligodendrocytes 10,483.0,0.079,29.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82),2.49,19.32
connective tissue cells 21,111.0,0.267,42.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,1401.0,0.04,9.0,96,8,8.33,3.07 (2.10-4.03),88,91.67,3.67 (3.19-4.16),3.09,3.86
oligodendrocytes 16,104.0,0.262,86.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.22,3.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787.0,0.16,67.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078.0,0.105,31.0,238,5,2.1,2.02 (1.11-2.92),233,97.9,3.68 (3.46-3.90),5.56,5.01
microglia 1,1615.0,0.104,41.0,161,29,18.01,1.67 (1.32-2.02),132,81.99,3.72 (3.45-4.00),9.89,4.45
oligodendrocytes 3,187.0,0.054,9.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.149,64.0,154,3,1.95,2.22 (1.70-2.73),151,98.05,3.27 (3.00-3.54),3.20,3.60
