tipo_celular,module_size,SYNGR1_MM,SYNGR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.093,25.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,18,5.1,1.57 (1.03-2.11),335,94.9,4.05 (3.87-4.23),26.56,7.07
GABA neurons expressing GLU receptors 22,823.0,0.23,80.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380.0,0.212,79.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61),2.40,2.58
da like neurons 11,1220.0,0.118,24.0,410,26,6.34,3.24 (2.76-3.71),384,93.66,4.33 (4.13-4.52),10.08,7.34
GABA neurons expressing GABA receptors 13,265.0,0.117,25.0,78,21,26.92,3.71 (3.03-4.40),57,73.08,4.55 (4.07-5.04),4.32,4.24
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.226,61.0,12,2,16.67,5.75 (5.75-5.75),10,83.33,1.58 (0.12-3.05),2.17,4.65
GABA like neurons 14,2402.0,0.16,28.0,455,31,6.81,2.84 (2.20-3.48),424,93.19,4.47 (4.28-4.66),19.59,8.05
astrocytes 8,520.0,0.075,27.0,288,34,11.81,3.54 (3.09-3.99),254,88.19,4.27 (4.05-4.48),7.50,4.31
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,10,3.62,1.97 (1.34-2.61),266,96.38,3.62 (3.40-3.84),6.69,5.05
oligodendrocytes 10,806.0,0.212,65.0,261,28,10.73,3.42 (2.96-3.88),233,89.27,4.49 (4.23-4.75),8.37,5.79
connective tissue cells 21,125.0,0.277,41.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,208.0,0.042,19.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,81.0,0.237,67.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,307.0,0.148,70.0,95,18,18.95,4.94 (4.37-5.50),77,81.05,4.82 (4.28-5.36),3.70,3.29
astrocytes microglia 23,124.0,0.373,82.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807.0,0.153,66.0,104,6,5.77,1.50 (0.52-2.49),98,94.23,2.95 (2.67-3.24),10.59,5.08
oligodendrocytes 0,309.0,0.057,1.0,30,2,6.67,5.51 (5.51-5.51),28,93.33,6.14 (5.49-6.80),1.84,2.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.079,28.0,345,30,8.7,3.22 (2.82-3.62),315,91.3,4.39 (4.17-4.61),8.64,5.41
oligodendrocytes 2,1630.0,0.121,15.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
