tipo_celular,module_size,TEX2_MM,TEX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.202,57.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,282,0.178,52.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,423,0.304,94.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666,0.15,37.0,127,7,5.51,1.72 (1.13-2.30),120,94.49,4.02 (3.69-4.35),4.62,5.91
GABA neurons expressing GLU receptors 22,599,0.443,99.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685,0.177,69.0,135,9,6.67,1.49 (0.83-2.15),126,93.33,3.34 (3.02-3.65),3.07,3.80
da like neurons 11,853,0.119,41.0,133,7,5.26,0.55 (0.36-0.73),126,94.74,3.43 (3.13-3.74),6.77,4.02
GABA neurons expressing GABA receptors 13,93,0.18,69.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.095,23.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358,0.169,57.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.199,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.242,96.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303,0.092,67.0,276,6,2.17,1.08 (0.60-1.55),270,97.83,3.61 (3.40-3.83),10.48,4.99
oligodendrocytes 10,2107,0.052,6.0,358,13,3.63,0.64 (0.48-0.79),345,96.37,4.03 (3.85-4.21),34.20,8.54
connective tissue cells 21,112,0.145,11.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,443,0.103,13.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,64,0.261,86.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,448,0.104,54.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,327,0.297,39.0,120,13,10.83,1.34 (0.91-1.76),107,89.17,3.96 (3.68-4.23),3.73,2.68
astrocytes 4,514,0.384,94.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,2078,0.152,99.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,346,0.19,72.0,43,2,4.65,3.98 (3.15-4.82),41,95.35,3.75 (3.22-4.29),3.26,4.54
oligodendrocytes 3,1003,0.107,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.116,18.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90),1.96,3.47
