tipo_celular,module_size,THADA_MM,THADA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.166,38.0,102,8,7.84,1.89 (0.85-2.93),94,92.16,3.64 (3.27-4.01),4.28,2.93
T cells 18,624.0,0.234,93.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141.0,0.114,26.0,166,12,7.23,1.48 (0.89-2.07),154,92.77,3.57 (3.33-3.82),4.37,4.56
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,25,7.08,1.42 (1.06-1.78),328,92.92,4.14 (3.97-4.31),29.24,6.45
GABA neurons expressing GLU receptors 22,823.0,0.227,78.0,23,2,8.7,2.00 (0.05-3.95),21,91.3,2.44 (1.65-3.24),1.86,3.57
GLU like neurons 17,637.0,0.114,29.0,91,9,9.89,0.97 (0.25-1.70),82,90.11,5.09 (4.64-5.54),3.27,3.04
da like neurons 11,102.0,0.502,100.0,8,2,25.0,1.97 (-0.03-3.98),6,75.0,3.13 (NA-NA),2.70,1.66
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.186,85.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,322.0,0.179,71.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.061,3.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577.0,0.052,20.0,83,2,2.41,3.41 (2.60-4.22),81,97.59,3.25 (2.78-3.71),1.89,4.54
oligodendrocyte progenitor cells 12,708.0,0.09,37.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.317,91.0,358,23,6.42,1.36 (0.98-1.74),335,93.58,4.10 (3.92-4.28),32.85,7.87
connective tissue cells 21,139.0,0.255,20.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768.0,0.111,72.0,105,17,16.19,2.03 (1.44-2.61),88,83.81,3.46 (3.10-3.83),4.17,3.94
oligodendrocytes 16,113.0,0.191,64.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74),1.56,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.208,24.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752.0,0.162,62.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.167,84.0,300,1,0.33,3.56 (NA-NA),299,99.67,3.79 (3.59-4.00),5.62,4.15
microglia 1,813.0,0.146,76.0,79,8,10.13,3.50 (2.76-4.25),71,89.87,3.05 (2.61-3.49),3.60,8.39
oligodendrocytes 3,1003.0,0.119,70.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.16,58.0,84,4,4.76,1.24 (0.05-2.43),80,95.24,2.78 (2.44-3.12),3.13,3.41
