tipo_celular,module_size,TMEM108_MM,TMEM108_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.175,66.0,28,12,42.86,4.55 (3.89-5.22),16,57.14,6.00 (5.22-6.79),2.41,2.42
oligodendrocyte progenitor cells 7,436.0,0.091,24.0,219,52,23.74,5.59 (5.11-6.07),167,76.26,5.04 (4.69-5.40),8.58,3.38
GABA neurons expressing GLU receptors 22,459.0,0.157,50.0,165,31,18.79,4.33 (3.54-5.13),134,81.21,5.30 (4.93-5.67),5.16,3.84
GLU like neurons 17,489.0,0.132,46.0,42,27,64.29,5.96 (5.32-6.59),15,35.71,6.12 (4.85-7.38),3.74,2.25
da like neurons 11,289.0,0.343,96.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.298,88.0,306,77,25.16,4.61 (4.09-5.13),229,74.84,5.33 (5.04-5.62),13.29,4.49
astrocytes 8,354.0,0.214,89.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.491,97.0,32,12,37.5,2.10 (0.80-3.40),20,62.5,4.10 (3.27-4.93),3.33,2.16
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.348,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.184,74.0,14,4,28.57,1.41 (-0.39-3.21),10,71.43,2.62 (0.92-4.32),3.14,2.18
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.222,33.0,30,20,66.67,5.60 (4.48-6.71),10,33.33,5.89 (4.78-6.99),3.13,5.88
astrocytes 4,220.0,0.245,86.0,63,31,49.21,4.98 (4.21-5.75),32,50.79,5.34 (4.51-6.16),3.75,2.85
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
