tipo_celular,module_size,TMEM30A_MM,TMEM30A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.293,93.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.299,87.0,241,12,4.98,4.32 (3.72-4.91),229,95.02,4.04 (3.77-4.30),3.25,4.40
astrocytes 5,228,0.181,53.0,266,54,20.3,3.08 (2.69-3.46),212,79.7,4.47 (4.24-4.69),5.89,4.75
oligodendrocyte progenitor cells 7,296,0.188,56.0,251,4,1.59,3.07 (1.74-4.40),247,98.41,4.08 (3.84-4.32),2.02,6.22
GABA neurons expressing GLU receptors 22,848,0.13,15.0,262,36,13.74,3.61 (3.13-4.09),226,86.26,4.28 (4.00-4.56),5.54,3.88
GLU like neurons 17,685,0.074,12.0,135,17,12.59,2.90 (2.09-3.71),118,87.41,3.24 (2.91-3.57),3.03,3.85
da like neurons 11,1220,0.264,74.0,410,41,10.0,3.73 (3.22-4.24),369,90.0,4.32 (4.12-4.52),10.05,7.23
GABA neurons expressing GABA receptors 13,357,0.231,77.0,237,10,4.22,3.98 (3.54-4.41),227,95.78,4.43 (4.19-4.68),5.68,4.12
endothelial cells 9,338,0.116,44.0,191,13,6.81,3.77 (3.40-4.14),178,93.19,3.89 (3.65-4.14),5.71,9.41
oligodendrocytes 20,228,0.163,35.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2402,0.323,70.0,455,52,11.43,3.69 (3.13-4.24),403,88.57,4.45 (4.26-4.65),16.46,7.85
astrocytes 8,520,0.194,69.0,288,47,16.32,3.58 (3.17-4.00),241,83.68,4.32 (4.09-4.54),8.74,3.89
oligodendrocyte progenitor cells 12,1049,0.073,36.0,235,16,6.81,3.55 (3.15-3.96),219,93.19,3.85 (3.60-4.09),4.81,7.82
oligodendrocytes 10,806,0.269,74.0,261,27,10.34,3.42 (2.99-3.86),234,89.66,4.50 (4.24-4.77),8.09,5.83
connective tissue cells 21,104,0.311,61.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,418,0.058,33.0,54,3,5.56,2.48 (1.08-3.87),51,94.44,3.76 (3.31-4.21),4.35,2.93
oligodendrocytes 16,313,0.221,51.0,291,42,14.43,3.59 (3.21-3.97),249,85.57,4.49 (4.23-4.74),6.39,3.38
da neurons 6,300,0.207,66.0,159,13,8.18,4.59 (3.87-5.30),146,91.82,4.34 (4.01-4.68),3.75,3.73
astrocytes microglia 23,135,0.28,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.115,8.0,104,12,11.54,2.43 (1.56-3.29),92,88.46,2.92 (2.63-3.22),8.55,4.99
oligodendrocytes 0,613,0.173,76.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46),3.22,6.46
microglia 1,214,0.15,38.0,227,16,7.05,3.57 (3.06-4.07),211,92.95,4.14 (3.89-4.39),5.22,6.19
oligodendrocytes 3,457,0.112,48.0,345,49,14.2,3.86 (3.41-4.30),296,85.8,4.37 (4.13-4.60),8.86,5.17
oligodendrocytes 2,528,0.236,67.0,175,34,19.43,3.78 (3.31-4.25),141,80.57,4.58 (4.15-5.01),6.72,4.11
